Averaged Fitness Value,Standard Deviation value,calculation time(milis)
613.947266,9928.607571,6
531.660156,6199.513412,6
470.947266,5093.506008,6
417.301758,4193.676520,6
371.266602,3400.534392,6
332.771484,3097.452663,7
297.136230,2729.377437,7
266.964844,2432.488022,6
239.326172,2075.250057,6
215.843750,1852.059570,9
193.809570,1610.312369,7
178.754395,1495.152080,7
162.164551,1383.732200,6
148.417969,1291.702255,7
136.408203,1234.153683,5
126.893555,1267.435935,6
115.928711,1063.631637,6
106.865723,1066.271520,6
99.828125,1062.272217,6
92.168457,1020.435001,6
86.502930,1073.532218,7
80.557617,1009.532813,6
76.274414,1022.459853,7
71.569336,1047.196364,6
67.467773,1040.537047,7
63.062012,1012.980041,6
58.662598,957.635671,7
57.064941,1104.572443,7
51.576172,939.791073,6
50.649902,1062.383779,5
48.075195,1041.563682,7
44.106934,961.136514,7
43.242676,1006.836128,7
41.724121,1029.344301,6
39.810059,1001.450739,6
38.101074,978.342811,8
37.217285,1049.896635,6
35.851562,990.651794,6
34.553711,984.501998,6
33.274414,975.088759,5
33.143066,1005.706583,7
31.701660,1023.981794,6
29.117676,915.492500,7
29.997070,987.035148,6
29.198242,1012.888434,6
28.295898,1020.080413,7
28.397461,1048.186751,5
26.341309,989.842005,6
26.004883,1011.632789,7
26.457031,1070.697372,7
26.653320,1085.995048,7
25.870117,1082.651099,6
23.228027,927.439703,7
23.911621,1021.395998,7
24.139648,1024.557647,8
24.370117,1126.918677,7
23.364746,1063.030535,7
22.701172,1038.980038,6
23.096191,991.425806,7
23.096191,991.425806,7
String tested,Total calculation time(milis)
barakg istheking!!,427
