Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
613.947266,9928.607571,0,4
531.660156,6199.513412,0,11
470.947266,5093.506008,0,12
417.301758,4193.676520,0,18
371.266602,3400.534392,0,20
332.771484,3097.452663,0,25
297.136230,2729.377437,0,28
266.964844,2432.488022,0,33
239.326172,2075.250057,0,35
215.843750,1852.059570,0,42
193.809570,1610.312369,0,43
178.754395,1495.152080,0,51
162.164551,1383.732200,0,50
148.417969,1291.702255,0,59
136.408203,1234.153683,0,56
126.893555,1267.435935,0,66
115.928711,1063.631637,0,64
106.865723,1066.271520,0,76
99.828125,1062.272217,0,72
92.168457,1020.435001,0,83
86.502930,1073.532218,0,81
80.557617,1009.532813,0,91
76.274414,1022.459853,0,88
71.569336,1047.196364,0,97
67.467773,1040.537047,0,96
63.062012,1012.980041,0,105
58.662598,957.635671,0,103
57.064941,1104.572443,0,112
51.576172,939.791073,0,111
50.649902,1062.383779,0,118
48.075195,1041.563682,0,118
44.106934,961.136514,0,124
43.242676,1006.836128,0,125
41.724121,1029.344301,0,131
39.810059,1001.450739,0,131
38.101074,978.342811,0,137
37.217285,1049.896635,0,138
35.851562,990.651794,0,144
34.553711,984.501998,0,145
33.274414,975.088759,0,151
33.143066,1005.706583,0,154
31.701660,1023.981794,0,158
29.117676,915.492500,0,162
29.997070,987.035148,0,165
29.198242,1012.888434,0,168
28.295898,1020.080413,0,172
28.397461,1048.186751,0,175
26.341309,989.842005,0,179
26.004883,1011.632789,0,181
26.457031,1070.697372,0,186
26.653320,1085.995048,0,187
25.870117,1082.651099,0,193
23.228027,927.439703,0,195
23.911621,1021.395998,0,199
24.139648,1024.557647,0,203
24.370117,1126.918677,0,206
23.364746,1063.030535,0,210
22.701172,1038.980038,0,213
23.096191,991.425806,0,217
22.187988,999.209289,0,221
22.187988,999.209289,0,221
String tested,Total calculation time(milis)
barakg istheking!!,434
