Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
247.289062,3831.358826,0.004000,4
148.928711,1645.968551,0.003000,3
93.121094,1060.153305,0.004000,4
65.414551,936.795433,0.003000,3
50.074219,902.716171,0.003000,3
41.148926,924.768348,0.003000,3
36.437988,957.747131,0.010000,10
32.004395,911.983867,0.004000,4
29.376953,902.579586,0.004000,4
28.934570,1014.572867,0.004000,4
26.907227,1030.641784,0.004000,4
24.267578,925.978207,0.003000,3
24.008301,939.145927,0.005000,5
23.360840,984.837080,0.004000,4
22.230469,1000.834579,0.003000,3
22.020508,979.701728,0.004000,4
22.020508,979.701728,0.004000,4
String tested,Total calculation time(milis)
hello!!,3240
