Averaged Fitness Value,Standard Deviation value,calculation time(milis)
586.186523,382.674193,8
571.435547,640.126705,9
551.040039,1006.193709,10
524.921875,1299.505615,10
497.309570,1612.536979,9
467.358398,1822.660613,10
434.580078,1933.515072,7
404.394531,2101.000595,7
371.694336,2197.959304,7
339.458008,2342.626166,7
311.040039,2517.814803,8
277.773438,2559.593201,9
246.284180,2626.768851,8
214.833984,2606.320095,7
185.107422,2275.086117,7
185.107422,2275.086117,7
String tested,Total calculation time(milis)
lGPTmRHveSbg,136
