Averaged Fitness Value,Standard Deviation value,calculation time(milis)
296.666992,3586.853950,8
254.764160,2600.765180,5
218.238770,2139.350704,4
188.395996,1886.192308,4
162.064941,1645.685724,5
140.032715,1455.760160,7
122.078613,1271.743332,5
109.198730,1248.737362,4
96.356445,1165.967673,5
84.206055,1040.396018,4
74.090820,968.921439,4
66.580566,900.349954,5
60.901855,888.233043,6
54.815918,868.365040,4
50.351562,860.051208,6
47.144043,888.646732,6
43.389648,905.036651,5
39.639160,807.974775,4
37.137207,828.834202,5
34.125000,824.136719,6
31.509766,790.544827,4
31.132812,829.864197,5
29.276855,856.299816,4
28.911621,880.104982,5
28.122559,935.976679,5
25.485352,846.547637,5
25.492676,895.924751,6
23.684570,861.297965,5
23.684570,861.297965,5
String tested,Total calculation time(milis)
HJbFYeySsu,162
