Averaged Fitness Value,Standard Deviation value,calculation time(milis)
315.402832,3979.857746,6
269.266113,2991.332992,5
232.210938,2399.695740,5
200.896973,2074.786749,8
174.813477,1757.624389,6
151.606934,1539.842081,6
132.887695,1387.485435,6
118.175293,1336.531284,6
104.179688,1251.616150,6
91.066406,1078.990707,6
80.369141,981.751431,5
72.318848,950.690817,6
66.793457,961.286930,6
60.156250,953.346680,5
55.000000,876.924805,8
50.741699,923.150566,6
47.796875,961.216553,6
43.224121,828.467836,7
40.658203,912.302120,6
38.317383,873.068213,6
35.183105,861.029461,6
34.770508,908.497138,11
32.565430,884.837516,6
31.480957,839.276005,7
31.229492,973.417060,6
29.396973,898.992315,5
27.895508,876.564277,6
26.847168,877.332599,7
28.033691,1000.509119,6
25.625488,876.616089,5
25.410645,943.063305,6
25.354492,953.073554,6
23.256348,854.806844,5
24.324707,949.600132,7
23.274902,926.782339,6
23.592285,977.466093,6
21.698730,892.332577,6
22.742676,989.225288,6
22.742676,989.225288,6
String tested,Total calculation time(milis)
WYoCRnrbkQe,258
