Averaged Fitness Value,Standard Deviation value,calculation time(milis)
587.670898,364.643645,12
573.242188,628.550720,10
553.383789,931.372237,10
526.923828,1237.021542,10
499.443359,1591.096401,8
468.369141,1754.566860,11
436.791992,1867.589545,8
406.840820,2040.263724,7
376.293945,2132.798362,8
345.634766,2288.464260,6
313.393555,2385.114646,8
279.985352,2436.376739,8
249.511719,2596.441269,7
219.980469,2541.405869,6
190.810547,2613.014889,7
190.810547,2613.014889,7
String tested,Total calculation time(milis)
Hello world!,140
