Averaged Fitness Value,Standard Deviation value,calculation time(milis)
634.506836,397.510695,9
618.750000,647.949219,10
596.977539,977.632308,9
570.600586,1324.395156,9
541.547852,1690.035796,8
511.835938,1815.574646,9
478.745117,2009.313941,7
447.182617,2120.333838,7
414.780273,2506.397033,8
379.667969,2539.049911,7
344.799805,2590.877891,7
310.996094,2635.824203,10
279.721680,2617.256522,7
247.070312,2735.850525,7
217.163086,2540.535903,7
189.951172,2472.946835,8
163.974609,2458.714199,9
163.974609,2458.714199,9
String tested,Total calculation time(milis)
BqpvuWiNKJDeE,153
