Averaged Fitness Value,Standard Deviation value,calculation time(milis)
633.994141,459.632778,8
617.500000,769.042969,7
593.730469,1168.212509,8
567.719727,1444.653869,7
537.568359,1710.688686,7
506.704102,2001.099944,9
470.527344,2334.194565,7
435.732422,2550.147152,8
398.608398,2471.256804,6
362.929688,2493.467712,8
329.287109,2523.710537,8
297.021484,2582.534695,6
266.835938,2719.285583,7
233.969727,2884.778380,6
202.446289,2610.666060,6
202.446289,2610.666060,6
String tested,Total calculation time(milis)
fuvsirPdjYDae,124
