Averaged Fitness Value,Standard Deviation value,calculation time(milis)
407.796875,5702.695068,8
351.416016,4069.568142,6
304.330078,3257.769955,5
266.549316,2783.958505,8
231.972168,2409.479206,5
202.146484,2133.890652,5
177.558594,1801.202621,8
158.092285,1685.002714,9
139.331543,1514.302677,6
122.586914,1314.398696,5
110.203613,1241.237350,5
99.511230,1157.900265,7
90.284668,1124.828632,18
81.161133,1064.386146,6
73.663086,1029.233169,5
68.053223,1063.630468,5
62.607910,1014.831129,6
56.349609,921.635586,6
52.048340,969.955183,7
47.816895,924.797039,5
44.363770,924.231441,5
42.823730,962.226253,8
39.769043,890.766483,5
38.929688,955.879822,6
36.459473,926.164373,6
35.064453,952.630611,6
33.360840,941.087080,5
31.241699,912.908867,6
31.836426,1000.528419,7
29.226562,864.092224,5
29.688477,1008.691039,7
29.433594,987.682114,5
27.616211,938.824386,6
26.867676,918.772041,8
27.060059,992.852350,5
26.553223,983.113378,5
25.506348,912.640585,14
25.521484,989.456570,5
24.242188,943.954041,6
24.094727,951.292785,5
24.453613,999.494919,7
23.457031,974.207138,4
23.457031,974.207138,4
String tested,Total calculation time(milis)
fuvsirPdjYDae,304
