Averaged Fitness Value,Standard Deviation value,calculation time(milis)
682.089844,452.370834,11
664.877930,718.246818,8
642.197266,1076.910305,13
615.727539,1348.591781,23
585.678711,1680.105758,8
553.159180,1734.599662,11
521.240234,1931.664944,13
489.121094,2093.661118,13
456.879883,2263.848853,11
419.516602,2561.045623,8
384.243164,2785.267043,7
349.384766,2924.816799,7
314.204102,2880.323577,7
277.983398,2915.806365,7
244.624023,2818.706298,8
214.873047,3011.214352,6
182.475586,2682.982802,7
182.475586,2682.982802,7
String tested,Total calculation time(milis)
RKHAWkLCQDimsb,181
