Averaged Fitness Value,Standard Deviation value,calculation time(milis)
369.505371,4549.813448,7
317.445801,2845.851555,6
278.333984,2273.542751,7
247.650879,2028.476259,8
218.782715,1820.455229,5
194.882324,1588.537422,8
174.662598,1455.459890,5
156.134766,1342.950588,6
139.117188,1133.346619,7
123.998535,1033.379392,6
112.806641,1093.548550,5
101.520508,1039.304267,8
91.208008,937.383491,6
82.071777,919.318578,6
75.419434,901.121439,8
68.395996,858.188402,6
63.235840,852.043501,5
57.076172,761.030331,8
52.847656,785.468979,9
49.327637,739.690994,5
45.938477,748.946410,7
44.206543,809.184391,9
41.691895,800.225872,7
40.048828,807.591366,6
37.976562,775.726013,6
36.503418,811.436512,7
34.672363,783.600174,6
33.237305,794.767905,6
33.040527,825.859197,8
30.744141,794.495083,6
30.657715,822.310087,7
29.979980,840.804775,6
28.468262,782.879852,8
27.532715,816.010648,5
28.342285,850.402860,7
26.216797,800.209835,10
26.188477,808.114867,5
25.547852,852.260406,5
24.897949,813.709800,7
23.564941,748.554376,6
24.760254,817.510393,7
22.836426,791.915138,5
22.554688,779.103455,6
21.451660,795.236921,5
21.488281,838.403183,5
21.416016,838.867947,4
21.236328,828.102352,6
20.090820,776.086478,5
20.478027,860.316900,5
20.024902,825.399282,5
20.662598,852.198171,5
20.784668,861.509784,4
19.816406,855.596176,18
18.052734,760.722805,5
19.167969,809.341904,4
19.652344,841.153549,9
20.144531,883.545517,6
19.239746,846.652971,5
19.510254,824.184465,6
19.874023,818.814208,5
19.711426,822.201393,21
18.633301,782.295707,5
19.717773,838.427184,6
19.360352,831.707061,8
20.204102,843.176116,6
18.878418,778.047230,6
18.795898,768.313811,7
19.107910,820.545484,6
19.619141,870.975063,7
19.111816,809.019235,9
19.789062,838.340271,5
19.659668,829.002826,6
19.455078,820.835873,6
18.687988,820.056457,8
19.871582,892.701771,5
19.517578,834.431332,7
19.138184,792.420847,6
19.156738,846.784515,7
19.047363,793.162308,5
19.396973,857.132940,5
19.076660,800.710432,8
19.722656,862.005112,5
19.837891,831.685635,6
19.857422,816.017757,7
18.655762,794.984527,4
18.948242,824.626227,6
19.682617,851.160010,6
19.368164,824.855666,15
19.764648,836.782500,7
20.424316,913.331186,5
19.269043,836.253299,5
19.221680,828.268241,10
19.130371,838.587984,6
18.610840,798.409590,5
18.811523,830.973266,5
19.227051,811.997764,6
18.782227,761.851012,10
19.794434,858.076395,6
19.545410,810.648329,8
20.616211,871.675948,5
19.703125,869.221436,7
19.085449,820.785179,5
19.307617,825.640723,5
17.863281,748.091660,8
19.209473,811.601141,6
19.654297,849.094357,6
17.789062,776.059021,6
19.870117,875.642310,7
20.180664,850.768142,9
18.597168,778.315754,6
18.985352,812.760528,6
19.542969,851.369247,6
19.965332,912.649677,6
19.320312,816.340759,6
19.096680,819.054130,5
18.755859,808.647427,6
18.585449,769.467308,5
19.676758,844.008796,18
20.180176,849.930916,6
19.461426,825.340309,4
18.514648,798.855254,5
18.929199,818.745476,7
18.716309,798.217859,5
19.434082,814.293506,5
19.177734,819.961575,7
19.697754,820.439409,6
18.639648,810.984405,7
18.975586,764.936904,7
19.634277,853.012243,6
19.178711,824.895797,6
19.217773,811.431090,5
18.838379,779.731203,5
18.765625,734.876709,19
19.917969,892.872177,7
19.579590,848.748548,7
19.579590,848.748548,7
String tested,Total calculation time(milis)
RKHAWkLCQDimsb,982
