Averaged Fitness Value,Standard Deviation value,calculation time(milis)
682.006836,446.705031,12
665.258789,694.171309,9
642.202148,990.511870,9
616.308594,1214.596176,9
588.320312,1618.663025,10
558.398438,1857.493591,11
525.053711,1913.961959,8
494.331055,2175.724387,10
461.020508,2245.003486,9
423.090820,2365.886283,8
388.950195,2620.235801,8
354.580078,2863.983822,7
317.846680,2754.005790,8
283.027344,2713.100815,7
252.275391,3157.810879,10
219.111328,2782.901669,6
188.613281,2603.057480,7
188.613281,2603.057480,7
String tested,Total calculation time(milis)
gtiucDfjFoUmwY,163
