Averaged Fitness Value,Standard Deviation value,calculation time(milis)
203.448242,3111.577399,6
163.609863,2328.120743,5
134.781250,1947.299805,4
108.692383,1587.657325,7
89.114258,1377.588508,7
73.851562,1153.123474,5
61.520996,1014.134325,5
54.518555,1078.396140,7
48.540527,1013.673162,5
42.475586,990.771865,6
37.883789,952.466964,6
34.763184,935.455148,4
32.280762,924.828888,7
31.157227,962.598327,6
28.139648,933.698272,5
27.479980,967.420498,7
25.402344,883.468002,6
25.925781,1015.671249,6
23.358398,833.502410,7
23.358398,833.502410,7
String tested,Total calculation time(milis)
World!,126
