Averaged Fitness Value,Standard Deviation value,calculation time(milis)
204.980469,2653.678329,7
168.564453,2003.549557,6
140.643555,1615.831931,5
118.040527,1393.941229,8
100.377441,1191.864862,6
86.895996,1081.387132,5
73.691895,968.767864,6
64.977051,905.630821,4
58.637695,965.798423,5
50.808105,859.791790,6
44.913574,830.464699,5
40.959473,866.698065,8
38.064453,835.957760,5
34.743164,808.896926,7
31.326172,782.996151,4
30.950684,862.163095,6
28.949707,876.785068,5
28.423340,877.523420,7
25.816895,763.167156,6
24.895508,824.620917,7
24.067871,805.876741,7
23.015625,789.452881,5
23.598633,868.769568,5
22.980469,857.887314,7
22.249512,820.406006,8
21.761230,839.322384,6
21.619141,878.115688,6
20.469238,820.715851,7
20.047852,844.315093,7
20.047852,844.315093,7
String tested,Total calculation time(milis)
NYFOgtw,196
