Averaged Fitness Value,Standard Deviation value,calculation time(milis)
208.411133,2855.902259,5
169.603027,2035.665167,4
142.425781,1648.953476,4
121.305176,1490.626106,18
102.187500,1214.201172,6
89.006836,1160.048781,5
75.115234,995.900784,6
67.800781,1060.234726,7
60.892578,1084.991390,5
52.823242,1042.750007,7
45.671875,919.284912,5
41.005371,930.433077,5
38.301758,969.654059,7
35.066895,965.977459,5
30.921875,915.082764,5
29.784668,949.450214,5
27.697266,971.417141,6
26.933594,955.595200,6
24.493164,885.641555,6
23.149902,893.689932,6
22.871094,914.720688,6
22.871094,914.720688,6
String tested,Total calculation time(milis)
cUlqThj,145
