Averaged Fitness Value,Standard Deviation value,calculation time(milis)
236.001953,3198.880856,7
194.631836,2229.179885,4
164.036133,1829.037757,15
138.238770,1527.311641,5
118.689453,1278.842037,6
102.625000,1161.334961,8
88.414551,1091.882347,5
77.585938,1124.744568,5
67.673828,1048.198299,9
58.603516,966.751003,5
49.708008,796.227241,18
46.169434,853.450296,10
42.084961,782.201766,5
38.573242,840.412604,6
35.074707,834.033970,5
33.560059,828.268854,5
31.043945,829.682639,20
30.576172,866.447323,5
27.395996,748.314378,6
26.496582,825.901356,5
25.317383,798.559424,6
24.295898,833.543303,5
24.295898,833.543303,5
String tested,Total calculation time(milis)
XEqtBpbJ,184
