Averaged Fitness Value,Standard Deviation value,calculation time(milis)
282.158203,3973.669308,6
235.875488,2852.935180,6
199.041504,2152.978258,5
169.908691,1943.897424,8
144.727051,1597.896690,5
125.336914,1386.274184,6
108.524902,1216.619497,7
96.707520,1180.421779,6
86.105469,1158.195908,6
75.040527,1030.795721,6
66.687500,970.582031,4
60.781738,893.768280,6
56.862305,946.865806,6
51.216797,900.620968,5
47.673340,923.419172,7
44.196777,902.606298,5
40.750000,913.308594,6
38.227051,865.307335,7
35.221680,895.819999,6
31.913086,878.524673,5
29.123535,840.555540,6
28.312988,911.496277,5
26.027832,889.067096,4
25.735840,933.602583,7
24.757812,900.366150,5
22.962891,869.114834,6
23.602051,952.025718,10
21.755859,892.216763,6
22.331543,952.634708,5
21.793457,905.824039,5
21.793457,905.824039,5
String tested,Total calculation time(milis)
tAxrZPOes,201
