Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
295.131836,178.595901,0.006000,6
288.164062,384.031677,0.007000,7
275.400391,639.195156,0.005000,5
255.073242,932.318854,0.004000,4
233.925781,1121.599960,0.020000,20
212.299805,1295.931602,0.003000,3
188.730469,1462.743759,0.004000,4
167.373047,1573.470211,0.006000,6
142.519531,1671.288681,0.004000,4
122.836914,1855.965590,0.003000,3
122.836914,1855.965590,0.003000,3
String tested,Total calculation time(milis)
AIUGFc,80
