Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
156.348633,2106.216346,0.004000,4
88.825195,1056.513389,0.003000,3
55.374512,782.967651,0.002000,2
40.791992,843.244819,0.003000,3
31.781250,848.750000,0.003000,3
27.106445,879.419333,0.003000,3
24.492676,885.063423,0.004000,4
21.937500,855.596680,0.003000,3
20.766113,843.394027,0.003000,3
21.527832,867.542194,0.002000,2
22.405762,992.112213,0.003000,3
20.551270,876.692684,0.004000,4
20.115723,863.389440,0.004000,4
20.115723,863.389440,0.004000,4
String tested,Total calculation time(milis)
EvdVt,2529
