Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
440.774902,5548.214468,0.010000,10
381.647949,4021.428306,0.004000,4
335.029785,3405.083586,0.005000,5
293.244141,2636.444302,0.004000,4
259.115234,2211.934963,0.004000,4
230.178223,1966.224584,0.013000,13
205.641113,1765.767196,0.004000,4
182.773926,1654.582191,0.004000,4
162.201660,1439.342634,0.006000,6
144.540039,1254.042342,0.003000,3
129.397461,1057.384017,0.005000,5
119.583008,1026.669868,0.004000,4
110.163086,945.286880,0.004000,4
101.489746,881.384660,0.004000,4
94.736328,853.669735,0.004000,4
88.614746,874.325701,0.004000,4
83.192383,840.930762,0.006000,6
77.437500,818.860352,0.005000,5
72.318359,816.778530,0.004000,4
67.407227,810.288268,0.005000,5
63.535645,833.531933,0.004000,4
59.405273,840.496886,0.004000,4
55.986816,869.077463,0.006000,6
53.172363,856.953201,0.005000,5
49.058105,812.503948,0.005000,5
46.950195,910.897910,0.005000,5
43.225586,843.668838,0.004000,4
42.054199,902.506340,0.004000,4
39.599609,865.227383,0.006000,6
36.388184,809.623239,0.005000,5
36.395508,921.849433,0.004000,4
33.131836,814.044143,0.006000,6
32.896484,893.650417,0.005000,5
29.356445,816.116111,0.010000,10
30.214844,881.216537,0.004000,4
27.913086,839.258071,0.004000,4
27.239746,817.172502,0.006000,6
26.282227,870.078551,0.003000,3
25.837891,831.959072,0.005000,5
25.034180,810.024222,0.006000,6
25.744141,845.019497,0.004000,4
23.906738,825.006439,0.006000,6
24.037109,828.228115,0.004000,4
22.875488,824.567016,0.005000,5
22.636719,867.056503,0.005000,5
22.928223,866.349828,0.004000,4
23.018066,867.987467,0.005000,5
21.130859,784.713345,0.005000,5
21.510254,845.370989,0.006000,6
21.957031,890.399521,0.004000,4
21.957031,890.399521,0.004000,4
String tested,Total calculation time(milis)
GQHuyIFBAolxagW,343
