Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
440.774902,5548.214468,0.010000,10
310.554199,1665.202141,0.004000,4
243.049805,1409.316855,0.004000,4
187.570801,964.382683,0.005000,5
153.198730,1047.263729,0.005000,5
119.319336,942.710525,0.004000,4
91.134277,824.278356,0.005000,5
73.470703,764.462032,0.004000,4
65.704102,879.911468,0.004000,4
56.853027,871.303106,0.003000,3
45.912598,774.212576,0.004000,4
38.251953,784.148434,0.004000,4
33.807617,845.901465,0.004000,4
30.530762,838.816437,0.004000,4
28.000488,806.808105,0.004000,4
25.849609,791.666836,0.004000,4
24.929688,811.140564,0.004000,4
24.834473,818.635198,0.003000,3
23.281738,848.408417,0.004000,4
21.526855,813.458263,0.004000,4
20.972656,805.628159,0.005000,5
21.940918,902.816334,0.004000,4
20.500000,768.239258,0.004000,4
20.276367,786.380652,0.004000,4
21.029297,843.587032,0.003000,3
20.781738,776.305389,0.004000,4
20.667480,867.275661,0.004000,4
20.886719,860.280136,0.005000,5
19.951660,830.802839,0.005000,5
20.202148,867.195464,0.005000,5
19.693359,844.578823,0.004000,4
18.666016,782.463650,0.004000,4
19.711426,875.088112,0.003000,3
19.901855,828.418590,0.003000,3
19.466797,857.612179,0.004000,4
19.764160,850.543501,0.004000,4
19.119141,850.007290,0.004000,4
19.751465,839.459226,0.005000,5
19.037109,805.989834,0.005000,5
18.909668,788.347797,0.005000,5
19.914551,868.019554,0.004000,4
19.116211,812.637862,0.004000,4
19.805664,876.288405,0.004000,4
19.924316,904.434213,0.003000,3
19.543457,860.930729,0.004000,4
20.328125,853.455811,0.003000,3
19.247070,830.129386,0.005000,5
19.876465,861.056516,0.004000,4
19.498535,844.998045,0.004000,4
20.050781,855.871445,0.005000,5
18.980957,822.414188,0.005000,5
19.483398,875.500701,0.005000,5
18.994141,815.239223,0.005000,5
20.619141,901.537563,0.004000,4
20.523926,911.234779,0.005000,5
18.048828,775.045467,0.005000,5
20.019043,869.920048,0.004000,4
19.683594,876.889145,0.005000,5
19.533203,858.337765,0.004000,4
19.124512,846.015259,0.005000,5
20.340820,889.715873,0.005000,5
19.297363,823.610306,0.004000,4
20.187012,860.982116,0.004000,4
19.798828,852.336483,0.005000,5
18.920410,788.982435,0.004000,4
20.100098,871.457266,0.004000,4
18.992188,831.336853,0.004000,4
19.349121,827.421571,0.004000,4
