Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
296.666992,3586.853950,0.005000,5
195.218262,1576.203827,0.005000,5
134.082031,1001.712997,0.003000,3
98.906738,943.867767,0.009000,9
74.083496,926.930040,0.002000,2
53.792480,857.813869,0.004000,4
42.971680,830.774589,0.004000,4
36.091797,828.112667,0.003000,3
33.250488,827.038330,0.002000,2
31.481445,959.681296,0.004000,4
27.440918,892.545337,0.004000,4
24.393555,838.908591,0.004000,4
23.200684,842.043222,0.004000,4
23.103027,931.962530,0.004000,4
21.747070,878.218253,0.005000,5
20.426270,871.533626,0.004000,4
19.998535,864.643064,0.004000,4
20.303711,853.596236,0.004000,4
21.184082,905.554493,0.005000,5
20.839355,874.051830,0.004000,4
19.658691,816.897669,0.003000,3
20.611328,859.899715,0.005000,5
21.312988,915.335144,0.003000,3
19.378418,782.923694,0.004000,4
20.326660,888.010969,0.004000,4
20.754883,900.479957,0.005000,5
20.282227,781.937926,0.005000,5
21.335938,935.685974,0.004000,4
21.324219,889.213242,0.004000,4
20.856934,894.154825,0.004000,4
20.877930,857.088614,0.004000,4
21.105957,882.650394,0.004000,4
20.137207,838.291233,0.004000,4
20.625488,860.497925,0.004000,4
21.087402,869.021169,0.004000,4
20.804199,881.471916,0.005000,5
20.816895,854.845867,0.005000,5
20.747559,888.764887,0.004000,4
21.192871,881.074617,0.003000,3
20.441406,862.297348,0.005000,5
20.666504,856.026964,0.004000,4
20.890625,909.864990,0.004000,4
21.322266,915.997707,0.005000,5
21.033691,901.617517,0.004000,4
21.244141,937.579067,0.005000,5
21.262207,926.916111,0.005000,5
21.416504,882.409044,0.003000,3
20.676758,885.385749,0.005000,5
21.577637,928.857254,0.004000,4
21.261719,940.948105,0.004000,4
21.473145,910.589123,0.003000,3
19.744141,827.043911,0.004000,4
21.328125,937.182373,0.004000,4
20.138672,854.266903,0.004000,4
21.932129,906.773226,0.003000,3
21.912598,969.499685,0.005000,5
19.552246,838.486528,0.004000,4
21.777832,955.823200,0.003000,3
20.687012,860.143738,0.004000,4
21.095215,881.555876,0.004000,4
20.716797,929.278194,0.003000,3
21.430176,926.307625,0.004000,4
21.078125,867.071045,0.004000,4
20.449219,835.373398,0.004000,4
21.450684,888.302255,0.004000,4
20.431641,845.045132,0.005000,5
21.708984,925.717068,0.005000,5
19.588379,822.678713,0.004000,4
21.349121,917.826845,0.004000,4
20.572266,866.543606,0.003000,3
20.961914,850.140151,0.003000,3
21.141113,856.804794,0.003000,3
21.391113,869.922714,0.004000,4
21.394531,925.159775,0.004000,4
20.144043,858.817631,0.004000,4
20.975586,891.668349,0.004000,4
20.587891,843.129971,0.004000,4
20.906250,875.819336,0.004000,4
21.072754,906.771562,0.004000,4
20.150879,829.033388,0.004000,4
21.426270,903.317806,0.003000,3
20.647949,867.601158,0.004000,4
22.171387,970.901779,0.004000,4
21.640137,923.095596,0.003000,3
21.532227,927.443297,0.003000,3
20.618164,917.764358,0.005000,5
19.866699,848.836235,0.004000,4
20.804688,850.482361,0.004000,4
20.300781,846.446640,0.005000,5
21.140137,908.978897,0.004000,4
21.148438,917.248474,0.004000,4
20.248535,849.789304,0.005000,5
21.728027,930.232183,0.004000,4
21.362305,899.683188,0.004000,4
20.745117,910.662574,0.004000,4
20.524414,862.547256,0.004000,4
21.042969,913.995224,0.005000,5
21.112793,871.082493,0.005000,5
21.683594,880.253403,0.005000,5
19.311035,829.621519,0.005000,5
21.724121,902.854067,0.004000,4
20.556641,825.478237,0.004000,4
20.805664,878.307937,0.004000,4
20.625000,892.355469,0.003000,3
21.065430,899.645133,0.004000,4
21.689941,946.856500,0.003000,3
21.316406,929.433090,0.004000,4
21.104004,910.446703,0.003000,3
19.926270,823.045833,0.004000,4
22.118164,941.205764,0.005000,5
20.804688,873.889587,0.004000,4
20.625977,899.096435,0.004000,4
20.517090,855.748731,0.004000,4
21.469238,927.382843,0.004000,4
21.709961,911.666854,0.004000,4
21.262207,902.911228,0.005000,5
20.946289,893.431685,0.004000,4
21.426270,913.691829,0.004000,4
21.093750,908.983398,0.004000,4
19.917480,835.715358,0.003000,3
20.300293,880.547031,0.003000,3
19.818359,830.958218,0.003000,3
20.348633,854.031775,0.004000,4
21.003418,898.165516,0.004000,4
20.393066,845.935831,0.004000,4
20.832520,933.629665,0.004000,4
20.395996,861.660082,0.003000,3
19.777832,835.259723,0.004000,4
20.784180,884.760062,0.004000,4
20.798828,886.941952,0.004000,4
21.879395,960.846294,0.004000,4
22.227051,950.255577,0.004000,4
21.470215,920.712003,0.003000,3
20.204102,870.975921,0.004000,4
20.775391,856.809902,0.004000,4
20.299805,870.772422,0.004000,4
20.277832,880.688923,0.004000,4
21.161133,896.841224,0.004000,4
21.487305,880.804526,0.004000,4
21.046387,916.462204,0.005000,5
21.052246,935.251665,0.004000,4
19.993164,863.010695,0.004000,4
21.026367,872.731727,0.003000,3
21.359375,878.850342,0.004000,4
20.441895,882.168499,0.004000,4
21.546387,910.587692,0.004000,4
20.779297,868.547970,0.004000,4
20.183594,864.747543,0.004000,4
20.415527,856.768255,0.004000,4
21.407227,941.699401,0.004000,4
21.551758,905.748298,0.004000,4
21.548828,910.742733,0.004000,4
20.490234,835.654202,0.005000,5
21.186035,870.245176,0.004000,4
20.391602,852.460906,0.004000,4
19.703613,860.930221,0.004000,4
21.810547,933.973873,0.005000,5
20.889648,884.318877,0.004000,4
21.830566,916.303812,0.004000,4
20.390625,835.325928,0.004000,4
19.895996,854.191820,0.004000,4
20.566895,825.341228,0.005000,5
20.855469,865.303329,0.004000,4
19.653809,870.804468,0.004000,4
19.697754,863.582964,0.004000,4
21.486328,907.479305,0.004000,4
19.665527,874.268499,0.003000,3
20.583984,882.654079,0.004000,4
20.958984,889.595974,0.005000,5
21.103027,878.466436,0.005000,5
20.799316,864.879160,0.004000,4
21.046875,899.271240,0.005000,5
20.470215,880.907316,0.003000,3
19.410156,802.891342,0.004000,4
20.372559,852.446649,0.004000,4
20.585938,829.611755,0.003000,3
20.411621,829.915041,0.005000,5
20.977539,873.389144,0.004000,4
20.655762,859.714996,0.003000,3
20.172363,891.952224,0.004000,4
20.879395,914.816997,0.003000,3
20.534180,847.603324,0.004000,4
21.530762,892.306671,0.004000,4
20.430664,865.336989,0.004000,4
20.170898,878.231536,0.005000,5
19.744629,809.988008,0.004000,4
20.835449,886.408958,0.005000,5
20.975098,899.186392,0.003000,3
21.539551,912.633201,0.005000,5
21.062012,904.463440,0.005000,5
20.084473,814.359564,0.003000,3
21.152832,902.352131,0.004000,4
20.360840,877.888838,0.004000,4
20.708496,905.618639,0.005000,5
19.880371,820.145357,0.004000,4
20.957520,908.986965,0.005000,5
20.304199,853.654045,0.004000,4
20.968750,881.679688,0.004000,4
21.775391,930.380215,0.006000,6
20.909668,891.108539,0.005000,5
20.775879,897.275453,0.003000,3
21.350098,908.798818,0.004000,4
21.909668,865.981586,0.004000,4
20.578125,828.790771,0.004000,4
21.158691,880.954798,0.003000,3
19.827637,819.192459,0.004000,4
21.205566,947.896707,0.005000,5
20.695312,857.685486,0.005000,5
20.475098,891.380239,0.005000,5
20.521484,824.951687,0.005000,5
20.610840,909.461347,0.005000,5
22.101074,1029.870155,0.005000,5
22.012695,928.324058,0.004000,4
21.289062,882.134216,0.004000,4
19.835938,834.810974,0.003000,3
20.307617,853.522559,0.004000,4
21.905762,877.513092,0.004000,4
20.862305,888.614829,0.005000,5
20.861328,889.344051,0.004000,4
19.862305,867.536704,0.004000,4
20.843750,909.017578,0.004000,4
20.759766,891.283108,0.004000,4
20.095703,862.861935,0.005000,5
20.821777,907.965795,0.004000,4
20.271484,861.092312,0.004000,4
20.834473,883.358831,0.005000,5
20.199707,819.924473,0.005000,5
20.732910,894.065870,0.003000,3
20.819824,888.889900,0.004000,4
21.102051,933.739097,0.004000,4
21.363770,891.525387,0.004000,4
22.848633,977.067908,0.005000,5
20.780762,891.442657,0.004000,4
20.444824,870.741096,0.003000,3
20.794922,894.531185,0.003000,3
20.839844,869.573959,0.004000,4
21.114258,883.306281,0.005000,5
