Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
293.372070,4235.956290,0.005000,5
182.800781,1514.919296,0.004000,4
127.717773,1019.874450,0.004000,4
98.040527,1048.335760,0.004000,4
70.757812,848.550720,0.005000,5
53.190918,884.763843,0.004000,4
43.837402,870.305105,0.003000,3
36.622559,836.647089,0.004000,4
33.659668,862.079975,0.003000,3
32.464355,1053.908886,0.003000,3
28.493652,885.297811,0.004000,4
25.700684,847.306406,0.004000,4
24.860352,891.313506,0.004000,4
23.600586,925.342422,0.005000,5
23.365234,897.800198,0.005000,5
21.386230,850.568111,0.004000,4
21.000000,912.909180,0.004000,4
20.764160,934.196821,0.003000,3
19.886719,881.345566,0.005000,5
20.145996,935.010423,0.004000,4
19.552246,908.151567,0.003000,3
19.791016,888.093044,0.004000,4
20.144043,932.503177,0.004000,4
19.984375,893.948975,0.003000,3
19.320801,913.334099,0.004000,4
19.465820,861.172660,0.004000,4
20.253418,854.291736,0.003000,3
20.160645,944.205150,0.003000,3
20.857422,943.887875,0.004000,4
20.063477,897.717650,0.005000,5
20.691895,927.502239,0.005000,5
20.255859,910.498989,0.004000,4
19.248535,863.434812,0.004000,4
20.560547,944.328365,0.004000,4
20.514160,894.920698,0.004000,4
20.087402,941.972341,0.004000,4
20.359863,912.103409,0.004000,4
20.082031,890.164169,0.004000,4
20.200684,931.719003,0.005000,5
19.961914,875.638198,0.004000,4
19.731934,894.351480,0.004000,4
20.625488,963.441284,0.004000,4
20.122559,905.373163,0.004000,4
19.583008,853.929633,0.004000,4
21.589355,1023.076977,0.004000,4
19.734375,913.836670,0.004000,4
20.859863,936.153702,0.004000,4
19.902832,882.758625,0.005000,5
20.506836,940.125930,0.004000,4
21.018066,1014.228678,0.004000,4
20.338867,900.089271,0.003000,3
20.217285,907.302885,0.004000,4
19.967773,949.106383,0.005000,5
19.312012,885.302551,0.005000,5
20.886230,938.595943,0.004000,4
21.349609,973.774258,0.002000,2
19.344727,919.021789,0.005000,5
21.123535,979.530149,0.004000,4
19.890137,893.464981,0.004000,4
20.732422,969.869808,0.004000,4
20.245605,940.846416,0.003000,3
20.624023,941.919188,0.003000,3
19.784180,869.724906,0.004000,4
20.721191,920.781152,0.005000,5
20.835938,965.643982,0.004000,4
19.761230,868.998165,0.004000,4
20.876465,977.565305,0.004000,4
19.871582,890.741810,0.004000,4
20.257324,934.596382,0.010000,10
19.494629,874.477510,0.004000,4
20.665039,908.496200,0.004000,4
20.124512,889.474243,0.004000,4
20.571777,903.708715,0.003000,3
21.076660,980.941877,0.003000,3
19.910645,945.482738,0.005000,5
20.620117,949.092994,0.003000,3
20.031250,916.910156,0.004000,4
20.115234,930.780666,0.003000,3
21.276367,996.436316,0.004000,4
19.188477,853.152953,0.004000,4
21.616699,976.236381,0.004000,4
19.906738,903.065033,0.005000,5
21.666016,1015.306423,0.004000,4
20.705566,928.089578,0.003000,3
20.625488,963.036011,0.004000,4
20.762695,961.762046,0.004000,4
19.228516,875.637234,0.004000,4
20.222656,887.010971,0.004000,4
19.953125,913.261475,0.004000,4
20.041992,946.415229,0.004000,4
21.126953,957.920406,0.004000,4
19.524414,884.384170,0.004000,4
20.597168,938.362629,0.004000,4
20.997070,938.185538,0.004000,4
19.814453,953.632565,0.004000,4
20.681641,932.747280,0.003000,3
19.781250,930.386719,0.003000,3
20.361328,910.014950,0.005000,5
21.372070,948.333243,0.004000,4
18.463867,836.192054,0.004000,4
20.595703,920.473263,0.003000,3
20.506348,901.549764,0.005000,5
20.387695,932.712974,0.005000,5
20.147949,948.576256,0.004000,4
20.816895,954.491375,0.003000,3
21.031738,968.381317,0.003000,3
20.226562,935.393982,0.005000,5
20.561523,936.235473,0.004000,4
19.161621,861.174562,0.004000,4
21.228516,952.966335,0.004000,4
20.810059,986.803278,0.004000,4
19.884277,902.029089,0.004000,4
20.048828,921.277889,0.004000,4
20.182129,924.692903,0.004000,4
21.200684,974.800058,0.003000,3
20.380859,910.496548,4.970000,4970
20.516602,922.010467,0.004000,4
20.904297,968.915646,0.004000,4
20.740234,974.592678,0.003000,3
19.334961,859.729598,0.004000,4
19.395996,885.839769,0.003000,3
19.395996,885.839769,0.003000,3
String tested,Total calculation time(milis)
HowAreYou,30685
