Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
233.831055,2765.029075,0.014000,14
146.206543,1016.794742,0.005000,5
106.645508,871.332343,0.004000,4
78.245117,840.765113,0.005000,5
60.803711,766.710494,0.005000,5
49.356445,774.638572,0.004000,4
43.144531,805.889267,0.004000,4
35.692383,777.203223,0.003000,3
31.252930,799.221183,0.003000,3
29.258301,956.813652,0.004000,4
24.844727,846.535460,0.004000,4
22.835938,810.824646,0.004000,4
22.662109,848.520596,0.005000,5
22.194824,902.907844,0.005000,5
21.660645,862.187084,0.004000,4
20.066895,838.486248,0.003000,3
19.228516,818.336452,0.004000,4
19.274902,851.860464,0.004000,4
19.440430,823.342155,0.005000,5
19.203613,844.239303,0.004000,4
18.807129,834.159578,0.004000,4
19.022461,814.001449,0.005000,5
19.520020,871.893154,0.003000,3
19.220703,817.351681,0.004000,4
18.623535,846.961302,0.005000,5
19.045898,817.504729,0.005000,5
19.857910,812.613111,0.004000,4
19.041504,824.581774,0.004000,4
20.352539,900.649154,0.004000,4
19.423828,840.116268,0.004000,4
20.131348,873.784017,0.004000,4
19.483398,834.635467,0.003000,3
18.683105,803.915691,0.003000,3
19.746094,871.507797,0.003000,3
19.871582,812.947864,0.005000,5
19.261230,839.229122,0.004000,4
19.680176,842.306404,0.004000,4
19.351562,814.350037,0.004000,4
19.388184,846.117380,0.004000,4
19.611328,830.221004,0.004000,4
19.192871,837.935945,0.005000,5
19.794434,881.876199,0.004000,4
19.529785,852.274503,0.004000,4
19.401367,855.543983,0.003000,3
20.991699,945.185966,0.003000,3
19.174805,851.405967,0.004000,4
19.921387,845.283371,0.004000,4
19.591309,862.407678,0.003000,3
19.687500,864.179688,0.003000,3
20.013184,900.143869,0.003000,3
19.974609,853.765957,0.004000,4
19.149902,810.561025,0.003000,3
19.475586,885.433974,0.004000,4
18.727051,825.266807,0.004000,4
20.420410,884.048353,0.003000,3
20.451172,881.507381,0.003000,3
18.802734,854.828274,0.004000,4
20.407715,912.343046,0.004000,4
19.061035,799.952818,0.005000,5
19.915039,883.506454,0.004000,4
19.535645,872.997753,0.004000,4
19.944336,884.205886,0.003000,3
19.186523,808.598022,0.004000,4
19.949707,849.251865,0.004000,4
19.758789,850.036544,0.005000,5
19.074707,801.718540,0.005000,5
19.856934,865.135294,0.003000,3
19.500488,845.041992,0.003000,3
19.647949,873.444908,0.004000,4
18.653809,799.766382,0.003000,3
19.957031,836.788193,0.004000,4
19.393066,821.869425,0.003000,3
19.875488,832.891235,0.003000,3
20.248535,900.511961,0.004000,4
19.091309,865.500940,0.004000,4
19.773438,860.242615,0.004000,4
19.073242,814.817878,0.003000,3
19.340820,834.412162,0.004000,4
20.195312,884.339783,0.005000,5
18.758789,797.225997,0.004000,4
20.736816,904.686105,0.004000,4
19.216309,832.492761,0.004000,4
20.743164,912.478957,0.003000,3
19.935059,847.276544,0.003000,3
19.999512,911.585449,0.003000,3
19.918945,897.145774,0.004000,4
18.972656,843.561752,0.004000,4
19.587891,818.595791,0.005000,5
19.350586,847.742324,0.005000,5
19.214844,857.779037,0.004000,4
20.392578,897.200375,0.004000,4
18.931641,816.424038,0.004000,4
20.075684,886.758432,0.004000,4
20.547852,883.705718,0.004000,4
18.767578,838.903988,0.004000,4
19.749023,844.336425,0.004000,4
19.749023,844.336425,0.004000,4
String tested,Total calculation time(milis)
TBJalImUZ,20250
