Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
730.004883,517.724586,0.008000,8
673.105469,1099.535751,0.008000,8
606.601562,1593.333435,0.006000,6
530.966797,1995.061398,0.007000,7
444.467773,2173.154235,0.007000,7
358.183594,1481.954575,0.007000,7
298.334961,1500.694442,0.005000,5
245.639648,1313.067412,0.005000,5
197.836914,1546.053481,0.004000,4
146.528320,1434.773612,0.006000,6
99.721680,912.569022,0.005000,5
78.725586,1288.854384,0.004000,4
78.725586,1288.854384,0.004000,4
String tested,Total calculation time(milis)
VAZnUHwSMoaBxFl,2295
