Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
236.001953,3198.880856,0.010000,10
146.276855,1187.960949,0.004000,4
102.379883,882.689673,0.004000,4
74.593750,908.333984,0.004000,4
53.871582,858.367786,0.004000,4
40.442383,818.643165,0.004000,4
33.062988,858.239685,0.004000,4
27.644043,817.073002,0.003000,3
25.723145,802.692394,0.003000,3
25.251953,907.250973,0.003000,3
23.777344,928.599838,0.003000,3
20.710449,764.049461,0.003000,3
21.354980,825.887172,0.003000,3
21.811035,874.731382,0.004000,4
21.837402,873.980886,0.004000,4
20.980957,840.155399,0.003000,3
19.598633,828.329139,0.003000,3
20.503418,875.617176,0.004000,4
20.315918,836.302051,0.004000,4
20.081543,860.741886,0.004000,4
20.578613,845.616867,0.005000,5
19.193848,788.765646,0.003000,3
19.742676,862.442085,0.004000,4
19.581055,864.015891,0.003000,3
18.309082,804.961597,0.004000,4
18.309082,804.961597,0.004000,4
String tested,Total calculation time(milis)
XEqtBpbJ,5067
