Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
150.111328,2167.667294,0.005000,5
82.216309,984.945886,0.004000,4
53.347656,805.736557,0.004000,4
40.291016,879.183865,0.003000,3
31.047852,891.735015,0.003000,3
26.114746,893.619158,0.003000,3
25.161621,961.392336,0.003000,3
22.585449,889.887230,0.003000,3
21.093262,873.492767,0.003000,3
21.022461,887.153792,0.003000,3
22.569336,1070.935622,0.004000,4
22.569336,1070.935622,0.004000,4
String tested,Total calculation time(milis)
blgpK,2116
