Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
187.086914,2864.251235,0.003000,3
151.019531,2149.033798,0.003000,3
124.053223,1790.296484,0.003000,3
102.714355,1498.302685,0.003000,3
84.083496,1227.778673,0.003000,3
70.488770,1005.136593,0.014000,14
60.026855,923.069103,0.003000,3
54.426270,1006.984798,0.003000,3
49.208984,1001.407497,0.003000,3
42.940918,957.836841,0.004000,4
37.601562,863.017029,0.003000,3
34.566406,903.440903,0.003000,3
31.762695,882.800132,0.003000,3
30.363281,926.196152,0.003000,3
27.235352,876.877227,0.003000,3
26.375977,923.456298,0.003000,3
24.824219,882.011093,0.003000,3
24.818359,934.212124,0.003000,3
23.117188,836.843689,0.003000,3
21.923828,847.938534,0.003000,3
22.131836,913.724807,0.003000,3
22.131836,913.724807,0.003000,3
String tested,Total calculation time(milis)
dipFbt,114
