Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
187.086914,2864.251235,0.005000,5
105.721191,1173.541895,0.004000,4
66.424316,808.584116,0.003000,3
51.171875,858.117920,0.005000,5
40.605469,863.443954,0.003000,3
31.941895,871.444378,0.003000,3
28.768066,935.591226,0.004000,4
24.031738,836.028778,0.005000,5
22.965820,903.837699,0.004000,4
22.692383,949.490333,0.005000,5
22.292969,1039.388779,0.005000,5
22.292969,1039.388779,0.005000,5
String tested,Total calculation time(milis)
dipFbt,2097
