Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
143.973633,2345.685828,0.010000,10
76.578125,1159.445068,0.004000,4
48.721680,948.759452,0.004000,4
36.323730,915.408382,0.004000,4
30.122070,979.280997,0.004000,4
26.304688,982.939392,0.004000,4
24.020996,961.284227,0.010000,10
23.095215,976.089079,0.004000,4
21.424316,975.363413,0.003000,3
21.687012,975.927917,0.004000,4
22.714355,1128.490185,0.004000,4
22.714355,1128.490185,0.004000,4
String tested,Total calculation time(milis)
phsr,2117
