Averaged Fitness Value,Standard Deviation value,calculation time(milis)
273.056641,3089.131557,4
232.447754,2354.897661,5
198.809082,1963.635914,4
170.770508,1676.986396,4
146.250977,1448.455565,5
125.887695,1351.171958,4
107.778809,1255.278711,4
93.780762,1090.457306,6
82.082031,1005.738388,5
70.706543,822.114567,5
62.969238,826.383331,5
57.068359,789.626186,5
52.541992,812.834174,5
47.045898,765.497893,6
44.039551,772.150291,5
41.912109,797.696377,4
38.886719,825.869980,6
36.089355,739.312816,6
34.298828,766.529842,4
31.681641,745.229702,6
29.647949,729.992759,5
29.677734,770.468410,4
27.862305,785.271079,5
27.686523,808.495482,6
27.132324,867.314033,5
24.661621,766.537355,5
24.502930,800.582999,5
22.670898,767.377044,5
23.111816,860.842478,6
21.429199,763.143425,5
21.429199,763.143425,5
String tested,Total calculation time(milis)
EBsXFOqoKP,170
