Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
273.056641,3089.131557,0.004000,4
181.302734,1302.089993,0.005000,5
127.835449,950.904075,0.004000,4
93.076172,823.476620,0.005000,5
71.302246,767.355425,0.004000,4
55.151367,773.268104,0.003000,3
41.859863,727.778702,0.004000,4
34.205078,754.956966,0.004000,4
30.364746,752.595964,0.004000,4
28.455078,877.489193,0.005000,5
24.842773,808.921569,0.003000,3
22.034668,758.652607,0.003000,3
22.294434,785.791727,0.004000,4
22.713867,858.192542,0.003000,3
20.841309,777.828821,0.004000,4
20.036621,792.438600,0.003000,3
19.087891,774.584072,0.005000,5
19.325684,772.019418,0.003000,3
19.983887,833.604721,0.005000,5
19.983887,833.604721,0.005000,5
String tested,Total calculation time(milis)
EBsXFOqoKP,3763
