Averaged Fitness Value,Standard Deviation value,calculation time(milis)
296.666992,3586.853950,8
195.218262,1576.203827,6
134.082031,1001.712997,7
98.906738,943.867767,7
74.083496,926.930040,7
53.792480,857.813869,8
42.971680,830.774589,6
36.091797,828.112667,7
33.250488,827.038330,9
31.481445,959.681296,8
27.440918,892.545337,8
24.393555,838.908591,9
23.200684,842.043222,10
23.103027,931.962530,9
21.747070,878.218253,11
20.426270,871.533626,10
19.998535,864.643064,11
20.303711,853.596236,10
21.184082,905.554493,11
20.839355,874.051830,10
19.658691,816.897669,10
20.611328,859.899715,9
21.312988,915.335144,11
19.378418,782.923694,10
20.326660,888.010969,11
20.754883,900.479957,11
20.282227,781.937926,10
21.335938,935.685974,12
21.324219,889.213242,10
20.856934,894.154825,11
20.877930,857.088614,10
21.105957,882.650394,10
20.137207,838.291233,10
20.625488,860.497925,10
21.087402,869.021169,9
20.804199,881.471916,9
20.816895,854.845867,10
20.747559,888.764887,10
21.192871,881.074617,9
20.441406,862.297348,11
20.666504,856.026964,9
20.890625,909.864990,10
21.322266,915.997707,9
21.033691,901.617517,10
21.244141,937.579067,9
21.262207,926.916111,10
21.416504,882.409044,9
20.676758,885.385749,10
21.577637,928.857254,9
21.261719,940.948105,10
21.473145,910.589123,10
19.744141,827.043911,10
21.328125,937.182373,10
20.138672,854.266903,9
21.932129,906.773226,9
21.912598,969.499685,10
19.552246,838.486528,10
21.777832,955.823200,9
20.687012,860.143738,10
21.095215,881.555876,9
20.716797,929.278194,10
21.430176,926.307625,9
21.078125,867.071045,10
20.449219,835.373398,10
21.450684,888.302255,10
20.431641,845.045132,9
21.708984,925.717068,9
19.588379,822.678713,11
21.349121,917.826845,10
20.572266,866.543606,11
20.961914,850.140151,10
21.141113,856.804794,11
21.391113,869.922714,9
21.394531,925.159775,10
20.144043,858.817631,9
20.975586,891.668349,9
20.587891,843.129971,10
20.906250,875.819336,10
21.072754,906.771562,10
20.150879,829.033388,10
21.426270,903.317806,10
20.647949,867.601158,11
22.171387,970.901779,11
21.640137,923.095596,10
21.532227,927.443297,10
20.618164,917.764358,10
19.866699,848.836235,9
20.804688,850.482361,16
20.300781,846.446640,8
21.140137,908.978897,10
21.148438,917.248474,9
20.248535,849.789304,9
21.728027,930.232183,9
21.362305,899.683188,9
20.745117,910.662574,10
20.524414,862.547256,10
21.042969,913.995224,10
21.112793,871.082493,10
21.683594,880.253403,10
19.311035,829.621519,9
21.724121,902.854067,9
20.556641,825.478237,10
20.805664,878.307937,10
20.625000,892.355469,10
21.065430,899.645133,11
21.689941,946.856500,9
21.316406,929.433090,11
21.104004,910.446703,9
19.926270,823.045833,10
22.118164,941.205764,9
20.804688,873.889587,11
20.625977,899.096435,9
20.517090,855.748731,16
21.469238,927.382843,9
21.709961,911.666854,10
21.262207,902.911228,10
20.946289,893.431685,9
21.426270,913.691829,10
21.093750,908.983398,10
19.917480,835.715358,9
20.300293,880.547031,9
19.818359,830.958218,10
20.348633,854.031775,9
21.003418,898.165516,9
20.393066,845.935831,10
20.832520,933.629665,10
20.395996,861.660082,10
19.777832,835.259723,9
20.784180,884.760062,10
20.798828,886.941952,10
21.879395,960.846294,9
22.227051,950.255577,11
21.470215,920.712003,10
20.204102,870.975921,9
20.775391,856.809902,10
20.299805,870.772422,8
20.277832,880.688923,10
21.161133,896.841224,10
21.487305,880.804526,9
21.046387,916.462204,10
21.052246,935.251665,9
19.993164,863.010695,10
21.026367,872.731727,9
21.359375,878.850342,10
20.441895,882.168499,10
21.546387,910.587692,9
20.779297,868.547970,9
20.183594,864.747543,10
20.415527,856.768255,10
21.407227,941.699401,9
21.551758,905.748298,9
21.548828,910.742733,12
20.490234,835.654202,10
21.186035,870.245176,10
20.391602,852.460906,9
19.703613,860.930221,10
21.810547,933.973873,11
20.889648,884.318877,9
21.830566,916.303812,9
20.390625,835.325928,9
19.895996,854.191820,10
20.566895,825.341228,9
20.855469,865.303329,10
19.653809,870.804468,10
19.697754,863.582964,9
21.486328,907.479305,9
19.665527,874.268499,9
20.583984,882.654079,11
20.958984,889.595974,9
21.103027,878.466436,10
20.799316,864.879160,8
21.046875,899.271240,10
20.470215,880.907316,10
19.410156,802.891342,9
20.372559,852.446649,9
20.585938,829.611755,9
20.411621,829.915041,9
20.977539,873.389144,11
20.655762,859.714996,10
20.172363,891.952224,9
20.879395,914.816997,10
20.534180,847.603324,10
21.530762,892.306671,9
20.430664,865.336989,9
20.170898,878.231536,9
19.744629,809.988008,9
20.835449,886.408958,10
20.975098,899.186392,10
21.539551,912.633201,11
21.062012,904.463440,9
20.084473,814.359564,9
21.152832,902.352131,10
20.360840,877.888838,9
20.708496,905.618639,10
19.880371,820.145357,9
20.957520,908.986965,9
20.304199,853.654045,9
20.968750,881.679688,9
21.775391,930.380215,11
20.909668,891.108539,15
20.775879,897.275453,12
21.350098,908.798818,10
21.909668,865.981586,11
20.578125,828.790771,9
21.158691,880.954798,10
19.827637,819.192459,11
21.205566,947.896707,10
20.695312,857.685486,11
20.475098,891.380239,10
20.521484,824.951687,11
20.610840,909.461347,10
22.101074,1029.870155,11
22.012695,928.324058,11
21.289062,882.134216,11
19.835938,834.810974,10
20.307617,853.522559,10
21.905762,877.513092,10
20.862305,888.614829,10
20.861328,889.344051,12
19.862305,867.536704,11
20.843750,909.017578,10
20.759766,891.283108,10
20.095703,862.861935,11
20.821777,907.965795,10
20.271484,861.092312,10
20.834473,883.358831,10
20.199707,819.924473,10
20.732910,894.065870,11
20.819824,888.889900,11
21.102051,933.739097,10
21.363770,891.525387,10
22.848633,977.067908,11
20.780762,891.442657,11
20.444824,870.741096,10
20.794922,894.531185,11
20.839844,869.573959,10
21.114258,883.306281,11
19.737305,849.305991,10
21.112793,894.749485,11
20.132324,831.669502,12
21.085449,916.278343,9
21.269043,901.103885,10
21.586914,982.337173,9
21.335449,867.153587,10
20.983398,872.592498,10
20.413574,904.677101,10
21.200195,908.427695,9
21.190430,914.985221,11
21.261230,904.170528,11
20.812988,875.502624,11
20.007324,855.334419,10
20.300293,874.759922,10
20.202637,850.867630,11
20.702148,916.958159,10
21.235352,916.343047,11
21.070312,914.840759,11
19.047852,786.541656,11
20.710449,857.906883,11
20.951660,881.535261,10
21.961426,939.835914,10
20.512207,913.855320,10
21.056641,883.008511,10
20.821289,842.944625,9
20.805664,885.837234,10
21.035645,866.418163,10
20.207520,884.553127,9
20.488770,854.232296,10
20.751953,878.897457,9
21.028809,885.287744,10
20.104492,875.003730,10
21.783691,916.148035,10
21.513184,896.161936,10
20.395508,834.115058,10
21.866211,917.742843,11
20.456543,856.837955,11
21.082520,870.508327,9
20.651855,877.224987,11
20.953613,848.462204,10
20.353027,871.557501,9
20.829102,885.904387,10
22.291016,924.158474,9
20.565918,869.647999,9
21.301270,880.818905,10
21.335938,937.125427,10
20.938477,870.088988,9
20.495605,866.485332,10
21.748535,912.468504,11
20.874512,921.306030,9
19.781738,812.404022,9
21.123535,888.053587,9
20.014648,853.553496,10
20.731445,825.881003,10
20.061523,845.675902,10
20.292969,880.009872,9
21.579102,884.340423,9
21.640625,868.905029,10
21.178711,922.697555,9
20.821777,870.841772,10
20.774902,874.346304,9
20.681152,895.051168,9
21.341309,891.754114,10
20.083496,880.077501,10
20.523438,889.261169,10
20.875000,879.363281,10
20.891602,890.905242,10
22.257324,913.528023,10
20.369629,859.399019,10
22.046875,946.079834,10
20.121094,823.125961,9
20.603516,871.322292,9
22.206055,932.183127,9
21.041992,850.225776,9
21.476074,923.116615,10
21.392578,887.507992,10
21.448730,911.834285,10
21.182617,899.281104,11
22.064941,946.377130,10
20.861328,877.142879,11
20.387695,867.913169,10
20.347656,854.371323,9
21.876465,942.334837,10
19.930664,852.913161,11
21.079102,886.675384,9
20.809570,862.174674,10
20.748047,836.198238,12
21.083496,915.186876,11
20.431641,867.361538,12
21.573730,960.115658,19
20.252441,824.921137,11
20.299316,937.967539,12
20.462402,936.527883,13
19.519043,846.242801,11
20.225586,929.435439,13
20.556152,910.601339,13
18.838379,819.033937,14
20.041992,921.424994,11
19.106934,886.527139,12
19.480957,862.689090,11
19.588379,865.739259,12
19.066895,856.436443,11
19.868652,924.467611,11
21.169922,958.467220,12
19.574219,854.950546,12
19.345215,839.213346,12
18.670410,856.547132,11
20.877441,920.760858,12
19.655273,848.515929,12
20.628418,920.013782,11
20.077637,882.449539,13
20.040039,911.818709,11
19.954102,871.845550,12
19.483398,877.337615,12
18.880371,826.420748,11
19.167969,844.853622,11
19.593750,919.851562,11
20.164551,916.631614,12
19.485840,874.828901,12
18.678223,830.882299,11
20.297852,878.872222,12
19.766602,860.701385,18
19.691895,870.366497,12
20.906250,982.576172,11
19.786133,862.224769,12
19.872070,894.709220,12
19.529785,884.554777,12
19.054688,854.817322,11
20.349609,921.058437,12
19.836426,875.763771,12
19.850098,834.679189,11
19.949707,924.621982,12
19.962402,907.207083,13
20.825195,951.339561,13
20.633301,931.321098,12
19.562988,863.940368,12
19.781250,880.493164,12
20.885742,948.662726,13
19.951660,897.970808,11
21.112305,941.844810,12
20.572266,933.823879,12
19.104492,857.622870,11
18.654785,858.691862,12
19.634277,860.140173,11
20.079102,888.910735,12
19.240723,858.097814,12
20.873047,963.939938,13
19.887207,912.232883,12
19.043457,827.549381,11
19.372070,854.211173,11
19.778320,835.310233,12
20.403320,913.689872,12
20.286133,909.418128,13
20.015137,915.045181,11
19.089844,821.089584,12
19.746094,899.957016,12
