Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
285.691406,3825.885239,0.004000,4
239.235352,2717.687774,0.003000,3
202.192871,2322.327547,0.005000,5
170.510254,1887.180559,0.004000,4
144.734863,1454.693863,0.003000,3
126.357910,1273.614576,0.003000,3
110.119629,1077.337740,0.016000,16
99.141113,1101.316513,0.005000,5
88.403320,1067.370536,0.003000,3
78.420898,1010.828704,0.003000,3
69.651855,903.033581,0.004000,4
63.287598,837.621877,0.003000,3
59.079102,913.662688,0.005000,5
52.817871,844.752474,0.006000,6
48.978027,845.020513,0.005000,5
46.589355,879.546703,0.004000,4
43.154297,891.987911,0.006000,6
40.284668,832.865741,0.004000,4
38.114746,857.695329,0.004000,4
34.884277,817.907995,0.004000,4
32.521973,789.245611,0.004000,4
32.354492,850.914374,0.005000,5
30.358887,839.476181,0.004000,4
30.055176,848.562874,0.004000,4
29.218750,915.492188,0.004000,4
26.734375,849.959717,0.004000,4
26.447754,859.290239,0.005000,5
24.354980,817.102016,0.004000,4
25.277832,946.130329,0.004000,4
23.730957,865.098026,0.005000,5
22.452148,846.368804,0.005000,5
23.820312,938.547791,0.004000,4
23.820312,938.547791,0.004000,4
String tested,Total calculation time(milis)
HqOhgBcoiM,203
