Averaged Fitness Value,Standard Deviation value,calculation time(milis)
285.691406,3825.885239,8
180.113281,1293.437363,6
128.324219,998.900742,7
94.499023,912.228515,7
71.517578,815.292660,7
58.925781,808.631210,7
48.445801,815.619133,8
41.588379,818.674806,6
37.356445,814.359275,8
34.884766,931.788479,7
30.566895,867.425213,9
27.071289,834.015426,9
24.567383,818.354835,9
24.291504,927.059068,9
22.532715,842.967680,9
22.437988,892.921936,9
21.189453,854.547115,8
20.921875,810.369873,9
22.122559,920.734491,10
21.504395,854.368145,9
20.379395,814.303814,11
21.366699,842.850395,8
22.023926,895.629799,9
20.398438,798.703552,9
20.920410,861.965833,10
21.510742,915.858283,10
20.462891,802.255459,10
20.915039,888.019149,11
20.915039,888.019149,11
String tested,Total calculation time(milis)
HqOhgBcoiM,260
