Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
331.170898,4562.513762,0.015000,15
280.635254,3350.181902,0.004000,4
239.650391,2765.696133,0.004000,4
204.161621,2610.559328,0.005000,5
172.844727,1993.795226,0.003000,3
149.319824,1691.942146,0.016000,16
128.675293,1493.517124,0.004000,4
112.918945,1392.317649,0.003000,3
98.550781,1248.423203,0.007000,7
85.437988,1110.972717,0.004000,4
75.762695,1058.538413,0.004000,4
67.361816,996.414499,0.006000,6
61.062012,1058.113830,0.004000,4
53.034668,944.052021,0.005000,5
47.875488,896.997680,0.004000,4
44.756836,920.755324,0.005000,5
40.809082,915.984546,0.004000,4
37.510254,842.768450,0.003000,3
35.008301,842.619560,0.004000,4
32.706055,859.984885,0.005000,5
30.183594,811.434067,0.004000,4
30.488281,885.119980,0.005000,5
28.787109,899.464443,0.006000,6
28.656738,915.201996,0.010000,10
27.818848,966.259664,0.004000,4
25.162598,858.464285,0.004000,4
25.369141,934.512173,0.005000,5
23.371094,877.480453,0.004000,4
24.157715,996.996122,0.004000,4
22.492188,901.638611,0.006000,6
22.492188,901.638611,0.006000,6
String tested,Total calculation time(milis)
WRynAoIrxu,217
