Averaged Fitness Value,Standard Deviation value,calculation time(milis)
331.170898,4562.513762,8
216.534180,1951.437308,10
149.006836,1227.721633,8
106.602051,975.079429,7
81.330078,923.569759,9
66.250000,948.791016,8
49.756348,840.948934,7
41.630859,864.363735,8
37.481934,852.075845,8
35.933594,1006.351059,8
33.469727,932.901427,8
29.639160,814.108564,10
27.625488,838.130737,10
27.280273,914.502501,10
26.165527,902.951605,10
24.420410,881.788587,9
23.074707,876.176548,10
23.226562,871.010193,11
23.079102,908.447845,10
23.199219,909.452499,9
21.691895,814.187786,13
23.040527,912.242986,11
23.623047,944.972164,11
21.550781,813.804062,8
22.352539,889.975326,11
22.584961,880.634383,8
22.511230,801.033077,8
23.299805,927.165977,10
23.494141,902.309536,8
22.997070,906.353507,10
23.316406,905.657700,9
23.224609,900.955410,12
22.204590,851.067030,12
22.456543,902.559635,11
22.299316,890.339609,9
22.468262,946.234344,11
21.973145,893.359142,10
21.658691,872.370325,9
22.445801,916.901359,10
21.459961,858.636092,8
21.992676,895.085396,10
22.008789,934.095626,10
22.071289,881.942183,9
22.339355,924.146068,10
22.398438,948.643982,9
22.286621,934.660524,11
22.638184,895.060007,10
22.024414,923.427138,9
22.769043,947.107303,9
22.328125,965.684326,10
22.499512,910.077148,9
21.138672,858.263973,10
22.300781,937.990585,10
21.208984,853.726833,10
23.247559,945.876703,11
22.788574,954.749733,11
20.752441,855.317133,9
23.046387,975.559860,9
21.967285,882.092191,8
22.568848,932.442526,10
21.724609,938.688808,10
22.433105,921.973064,10
22.397461,901.594954,10
21.583984,855.978298,12
22.689941,927.025446,8
21.731445,878.161277,12
23.041992,962.520698,9
20.882812,850.452087,9
22.317871,928.993196,21
21.643555,880.750876,10
21.883301,855.120659,11
22.362305,886.396079,11
22.204102,859.414397,11
22.697754,978.174761,11
21.426758,901.085456,12
22.120605,923.917583,11
21.583008,905.976508,14
20.580078,919.738705,13
20.376465,935.328489,13
19.533691,867.837732,13
20.521973,920.814947,12
20.115723,908.897253,13
21.539551,995.382225,13
21.019043,944.050907,13
21.159180,987.072318,13
19.730469,907.243759,13
19.067871,873.661897,13
19.959961,880.934920,14
19.612305,886.447349,12
20.555176,953.920784,14
20.444336,952.342605,13
19.681152,892.547262,12
20.698730,912.908748,13
20.359375,895.654053,14
19.716797,899.383663,12
19.954102,902.579925,13
20.428711,952.543746,13
20.399902,910.437246,13
21.022461,906.425277,12
18.588379,873.012697,12
20.673340,908.089094,15
20.160156,882.313217,14
20.027344,900.794174,13
19.865234,905.891994,14
20.367188,937.776306,14
20.889160,972.528242,13
20.343750,932.008789,14
20.445801,924.534172,13
19.338379,860.497316,13
21.334961,962.228621,13
20.191406,917.143051,13
19.999023,930.529296,17
19.764160,889.209516,13
20.876465,987.270384,13
20.881836,928.846389,14
20.666504,938.979112,12
20.079102,914.514251,13
20.689941,945.782282,12
20.662109,965.219814,13
18.928223,835.883032,11
19.744629,928.301485,13
19.182617,874.202003,13
19.583008,893.293891,12
20.041504,890.236070,13
19.591309,866.701624,12
20.118652,962.698324,12
19.682129,890.107454,12
18.811035,829.058531,12
19.959961,903.588241,13
20.397461,947.133040,12
21.227051,995.348350,13
21.721191,996.242090,14
20.995605,964.934063,14
20.035156,961.686264,15
19.966797,883.531124,15
19.620117,906.981666,12
19.587402,899.979666,13
20.345703,914.769161,12
21.015625,923.473389,12
20.206543,930.242008,14
20.411621,979.682619,12
19.034180,861.499808,13
20.716797,939.277218,13
21.037109,946.173428,13
19.948730,914.598446,13
20.814941,943.085382,13
20.156250,911.722656,13
19.769531,923.915634,13
19.692871,892.079988,13
20.499023,950.940429,13
20.786133,928.649573,13
20.977539,945.932113,13
19.884766,871.982815,18
20.298340,877.866560,13
19.544922,865.080990,13
19.027832,891.544636,13
21.215820,970.211234,12
20.313477,921.963256,15
20.941895,921.110393,12
19.448242,855.724860,12
19.282715,904.634428,13
19.799316,844.060800,13
20.417969,917.141708,14
19.084473,928.378118,12
18.873535,883.431761,13
20.743164,934.671340,13
18.860840,890.023115,12
19.769531,896.793564,11
20.291992,924.461616,13
20.145996,878.699877,14
20.089355,890.645824,12
20.547852,948.600249,11
19.507324,880.638618,12
19.068359,876.914272,13
19.687988,879.153137,13
20.209961,902.389510,13
19.798340,868.988142,14
20.203125,892.809326,14
20.354980,923.816860,12
19.183105,887.745281,15
19.926270,912.960872,13
19.963867,892.516273,12
20.953613,934.233688,13
19.701172,882.720272,14
19.649414,921.546035,12
19.153809,846.935816,13
19.922363,896.135086,13
20.423340,943.548811,13
20.806152,941.852560,13
20.428223,950.156957,13
19.452637,846.849319,12
20.603027,937.701299,12
19.404785,853.964567,13
19.787598,906.213186,12
19.336426,875.925392,12
19.977051,919.841758,12
19.397949,871.463218,13
20.268555,916.005027,13
20.785156,933.868881,13
19.858887,880.840927,12
20.012207,916.684910,13
20.775879,956.477602,13
21.421387,913.708664,14
20.314453,914.119869,13
20.636230,918.791988,13
19.700684,924.350351,13
20.036621,917.722780,12
20.071289,888.179488,13
19.557129,890.490877,14
20.025391,884.666348,13
19.432129,900.003206,12
21.064941,1021.128107,11
21.510742,980.043830,17
20.375000,896.055664,12
19.341797,885.396847,11
19.564453,868.118893,14
21.346191,917.366968,12
20.286133,926.913245,14
20.323242,933.543952,13
19.114258,894.386359,13
20.024414,924.562881,12
20.122070,935.239982,13
19.492188,900.388611,13
19.887207,914.789524,13
19.286133,859.601722,12
20.223145,932.275890,12
19.782715,868.416166,13
19.894043,918.280277,12
20.409668,951.164692,13
20.007324,922.124458,12
20.575684,912.886850,12
21.756836,975.484817,13
19.965332,901.909443,13
19.670410,898.700453,14
20.063477,925.309447,14
20.297852,914.987456,16
20.255859,903.384731,17
18.907227,871.087096,13
20.606934,950.516886,12
19.299316,849.915781,12
20.397949,957.029625,12
20.394043,923.835453,12
20.583984,986.235134,23
20.538574,876.243629,13
20.159180,890.608451,12
19.796387,923.731491,12
20.536133,949.240882,12
20.617188,945.205017,12
20.517090,931.754591,12
20.196777,899.643408,14
19.273926,893.757484,12
19.126465,847.201292,17
19.561035,883.381040,12
20.395508,984.013495,12
20.341797,928.514034,12
20.137695,926.629478,12
18.603516,848.128933,13
20.104004,916.403734,17
20.185059,903.546320,12
21.255371,970.395235,14
19.780762,925.863556,13
20.156250,877.223633,13
20.228516,889.273952,12
20.082031,921.692490,15
20.109863,882.630020,12
19.461426,913.404762,13
20.087402,931.923513,12
19.745117,887.925269,12
20.154785,892.204069,12
19.185547,873.523190,11
21.013184,943.460275,12
20.682129,909.280306,12
19.454102,849.020354,12
21.170898,929.792083,11
19.903809,900.598657,12
20.560059,922.656549,13
20.057129,929.194490,13
20.543457,905.083072,15
19.511230,889.703975,19
20.136719,925.991074,12
21.596680,955.416434,12
19.567871,877.790315,12
20.713379,912.363649,14
20.879883,986.223853,12
20.109375,874.463623,11
19.826660,895.178449,12
20.774902,931.295522,13
20.007324,920.089302,12
19.467285,872.329008,12
20.622559,940.759393,13
19.329102,890.123137,13
20.143555,872.010642,13
19.225586,867.712783,13
19.493164,905.418899,13
20.997070,926.464835,12
21.192383,922.577247,12
20.281250,931.423828,13
19.907715,871.765409,12
20.244629,912.782442,12
20.068848,947.509420,12
20.641113,927.227157,13
19.176270,890.617855,11
19.707031,901.205185,12
20.233398,927.879119,11
20.182617,923.887549,13
21.547363,944.079788,13
19.670410,889.554945,12
20.943359,953.024136,17
19.836914,884.298598,13
20.384766,942.053127,16
21.340332,943.243061,14
20.302734,876.271633,15
20.626465,930.205686,13
21.052246,952.036821,11
20.638184,925.380319,13
20.095215,881.465055,15
21.665039,997.411239,12
20.199219,906.590195,12
19.291504,844.209459,12
19.926758,911.468268,11
21.007324,947.559028,13
19.590820,919.680228,12
20.359375,915.990967,13
20.138672,893.783504,13
20.007812,858.689392,13
20.328125,939.722412,12
20.023926,920.401283,14
20.616699,950.361381,13
19.686523,843.365600,12
20.375488,929.349731,17
20.487793,946.066257,12
19.794434,874.424051,14
20.406250,946.924805,14
20.753418,923.930897,12
19.027832,838.135456,12
20.724609,985.003262,12
19.447754,920.466997,12
19.772949,903.629600,11
19.687012,886.050964,12
19.215332,870.648456,12
20.096191,932.073267,12
21.609375,1003.958740,12
20.086914,902.016860,12
19.767090,883.560499,11
19.335449,914.699486,12
20.965332,936.727802,11
19.921875,879.001709,11
20.944824,958.973030,12
20.341309,919.780481,12
20.148438,922.327576,15
20.233398,891.705291,12
19.781250,918.894531,13
19.208496,867.684557,12
19.435547,877.815182,12
19.584961,912.233016,12
20.196777,917.668798,14
19.806152,895.403341,12
19.287598,888.604299,12
20.973633,953.829383,12
19.936523,880.097533,13
19.880371,892.679537,13
21.187500,1009.264648,11
20.056641,901.989956,13
19.947266,900.863430,13
