Averaged Fitness Value,Standard Deviation value,calculation time(milis)
278.201172,3424.848202,7
182.683105,1134.506511,7
133.863281,889.892441,6
100.582520,885.472683,7
74.335449,791.873314,6
59.326660,804.070539,6
49.013672,768.767391,6
41.658691,819.618372,7
35.899902,756.579336,8
32.720703,918.269650,6
29.345215,846.604948,9
25.988770,767.519893,9
25.072754,786.244219,8
24.716309,872.449304,8
23.102051,830.386558,9
21.631836,817.722854,9
20.571777,829.141332,12
20.571777,829.141332,12
String tested,Total calculation time(milis)
kBcpJtaHSO,145
