Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
278.201172,3424.848202,0.005000,5
236.174805,2360.198936,0.003000,3
202.978027,1978.876959,0.004000,4
175.511230,1640.749874,0.004000,4
153.350586,1381.627090,0.011000,11
135.893066,1300.080850,0.002000,2
118.439453,1108.567623,0.004000,4
105.811523,1059.965453,0.003000,3
94.157715,1021.840849,0.004000,4
83.449219,952.559921,0.004000,4
74.626465,941.199827,0.003000,3
66.556152,834.737081,0.003000,3
61.516602,906.695037,0.003000,3
54.748535,839.401121,0.003000,3
50.122070,843.822989,0.004000,4
46.825195,826.503623,0.003000,3
43.704102,896.081389,0.004000,4
40.061035,776.554380,0.003000,3
38.009766,798.756741,0.003000,3
35.230469,780.264267,0.004000,4
32.921875,759.667725,0.003000,3
32.916992,831.324164,0.003000,3
30.989258,835.010627,0.004000,4
30.250977,818.896972,0.006000,6
29.445801,878.826164,0.004000,4
26.792480,771.428127,0.005000,5
26.731934,838.561441,0.004000,4
25.003418,805.608875,0.004000,4
25.153809,888.390894,0.003000,3
23.694336,831.366530,0.005000,5
22.604004,824.143480,0.004000,4
23.799805,922.378867,0.004000,4
20.523438,769.437927,0.004000,4
22.811523,907.231078,0.006000,6
20.097168,812.047687,0.004000,4
20.097168,812.047687,0.004000,4
String tested,Total calculation time(milis)
kBcpJtaHSO,205
