Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
537.519531,361.620712,0.007000,7
488.872070,885.495353,0.005000,5
433.696289,1107.675338,0.005000,5
381.601562,982.005310,0.004000,4
326.831055,905.338645,0.005000,5
278.847656,1267.226791,0.004000,4
224.335938,952.195740,0.005000,5
183.339844,1227.029037,0.005000,5
135.937500,1320.898438,0.004000,4
97.802734,916.265774,0.005000,5
97.802734,916.265774,0.005000,5
String tested,Total calculation time(milis)
ImDNfLbXCGx,1896
