Averaged Fitness Value,Standard Deviation value,calculation time(milis)
297.983887,3383.158432,5
203.047363,1344.137893,6
151.026367,1061.280555,6
111.432129,829.354769,8
85.634766,717.130276,6
70.002930,754.950187,7
57.124512,754.604126,8
47.961914,751.514174,7
42.129883,751.437232,7
38.476562,889.245544,6
32.527344,741.968002,7
30.700684,767.267343,8
28.294434,772.428446,8
27.180664,813.886306,7
25.188965,818.643492,11
22.376953,749.230953,8
22.373535,773.129514,9
20.685059,740.647394,8
22.554199,844.274406,11
21.161621,800.269289,9
19.869141,747.238735,11
20.297363,833.942337,11
19.766113,774.004379,12
19.006836,784.993117,13
18.852051,810.453209,14
18.973633,776.300086,14
18.867676,779.987861,9
18.804688,769.005798,18
19.508789,803.836837,13
19.445801,809.310539,12
19.428711,799.696090,12
18.956543,811.638248,11
19.163574,809.632911,14
19.081055,788.920188,12
18.916504,793.730821,13
20.273438,879.447693,13
19.068848,810.814108,12
18.801758,802.587653,13
19.640625,814.047607,12
18.488281,758.172714,12
18.848633,814.465369,11
19.128906,848.381821,11
19.401367,784.838904,14
20.082520,881.566921,11
18.248535,787.792234,11
19.944824,855.420295,12
19.848633,801.478065,11
18.735840,818.682661,12
19.606445,813.800193,11
19.320312,828.922791,12
19.075195,797.643760,13
18.949219,800.275742,11
18.872559,803.772333,11
19.004883,816.786109,11
19.671387,807.135666,11
19.968262,899.167450,12
18.742188,786.346619,11
18.784180,814.953422,12
19.999023,853.351562,11
19.404297,822.956661,12
19.303711,847.399947,12
18.914062,805.837341,11
19.859863,822.668350,12
18.627930,772.022696,11
19.623047,797.031734,13
19.224121,816.221742,11
19.885742,835.769172,11
18.143066,777.941934,12
19.093750,816.872070,12
19.523438,812.132263,11
19.147949,795.118248,11
19.722168,825.977985,12
19.198242,780.819098,12
19.962402,891.322317,12
19.090820,821.638236,13
18.644531,794.622665,12
19.391113,812.868026,12
19.504883,822.332007,11
18.896973,810.582647,11
19.368652,821.250326,13
19.542480,812.340969,12
19.526855,858.523693,12
20.012695,859.377769,11
20.101074,862.296913,12
19.918457,865.371769,12
18.427734,804.416653,11
18.774414,796.164931,12
18.807129,771.059969,13
18.622070,787.542716,12
20.148926,892.276161,12
19.001465,795.092283,12
18.845215,821.449186,13
20.044434,830.373514,13
19.338867,824.883216,11
19.098633,821.141639,12
19.249512,811.005615,13
18.839355,795.028393,11
19.353027,799.970587,12
19.182129,782.148958,11
18.353516,777.311550,11
19.440918,798.073658,12
18.812012,761.121399,13
19.394043,835.509281,13
19.098633,841.665076,12
19.501465,827.333982,13
19.841309,869.156946,12
19.457520,850.194484,17
19.125977,812.990966,12
18.720215,758.460294,12
20.060547,888.087154,12
20.079102,840.861907,14
18.465332,781.698993,16
18.765137,803.592788,16
20.237793,882.224216,18
19.395020,831.485073,16
19.689941,820.919977,17
19.568359,835.800991,13
20.050293,871.653232,13
19.375000,866.879883,12
18.428711,765.028121,11
18.584473,804.129583,12
18.454590,799.502821,12
17.953125,716.397217,11
19.069336,776.751052,12
18.286621,771.086305,11
19.895020,878.067592,12
18.045898,780.614104,12
17.638184,716.293405,11
19.101562,780.187927,14
19.436035,823.972471,12
19.876465,859.561399,13
20.117676,866.565742,11
19.280762,830.433380,11
19.016602,828.446013,12
19.342773,792.604186,11
18.516113,772.705795,11
18.228027,773.840093,11
19.562500,835.093750,13
19.545898,796.235198,13
19.277832,807.477009,13
18.814453,827.724361,11
18.497559,818.724603,11
19.497070,815.664054,11
19.624023,816.831298,12
19.016602,817.938201,11
19.785156,820.134506,13
18.658691,780.418176,11
18.458496,788.211168,11
19.172852,809.712310,12
18.798340,819.215681,12
20.907227,888.629088,12
19.106445,779.678123,12
19.041016,784.387966,12
19.308105,793.195598,13
19.308105,793.195598,13
String tested,Total calculation time(milis)
ImDNfLbXCGx,1912
