Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
297.983887,3383.158432,0.004000,4
203.047363,1344.137893,0.004000,4
151.026367,1061.280555,0.004000,4
111.432129,829.354769,0.003000,3
85.634766,717.130276,0.005000,5
70.002930,754.950187,0.004000,4
57.124512,754.604126,0.003000,3
47.961914,751.514174,0.004000,4
42.129883,751.437232,0.004000,4
38.476562,889.245544,0.004000,4
32.527344,741.968002,0.005000,5
30.700684,767.267343,0.004000,4
28.294434,772.428446,0.007000,7
27.180664,813.886306,0.005000,5
25.188965,818.643492,0.004000,4
22.376953,749.230953,0.005000,5
22.373535,773.129514,0.003000,3
20.685059,740.647394,0.005000,5
22.554199,844.274406,0.004000,4
21.161621,800.269289,0.005000,5
19.869141,747.238735,0.004000,4
20.297363,833.942337,0.003000,3
19.766113,774.004379,0.004000,4
19.006836,784.993117,0.004000,4
18.852051,810.453209,0.004000,4
18.973633,776.300086,0.003000,3
18.867676,779.987861,0.004000,4
18.804688,769.005798,0.003000,3
19.508789,803.836837,0.003000,3
19.445801,809.310539,0.003000,3
19.428711,799.696090,0.004000,4
18.956543,811.638248,0.003000,3
19.163574,809.632911,0.003000,3
19.081055,788.920188,0.003000,3
18.916504,793.730821,0.004000,4
20.273438,879.447693,0.005000,5
19.068848,810.814108,0.004000,4
18.801758,802.587653,0.005000,5
19.640625,814.047607,0.003000,3
18.488281,758.172714,0.003000,3
18.848633,814.465369,0.005000,5
19.128906,848.381821,0.004000,4
19.401367,784.838904,0.005000,5
20.082520,881.566921,0.004000,4
18.248535,787.792234,0.004000,4
19.944824,855.420295,0.005000,5
19.848633,801.478065,0.006000,6
18.735840,818.682661,0.005000,5
19.606445,813.800193,0.004000,4
19.320312,828.922791,0.004000,4
19.075195,797.643760,0.004000,4
18.949219,800.275742,0.003000,3
18.872559,803.772333,0.005000,5
19.004883,816.786109,0.004000,4
19.671387,807.135666,0.004000,4
19.968262,899.167450,0.004000,4
18.742188,786.346619,0.004000,4
18.784180,814.953422,0.003000,3
19.999023,853.351562,0.004000,4
19.404297,822.956661,0.005000,5
19.303711,847.399947,0.002000,2
18.914062,805.837341,0.004000,4
19.859863,822.668350,0.005000,5
18.627930,772.022696,0.004000,4
19.623047,797.031734,0.005000,5
19.224121,816.221742,0.005000,5
19.885742,835.769172,0.004000,4
18.143066,777.941934,0.004000,4
19.093750,816.872070,0.004000,4
19.523438,812.132263,0.003000,3
19.147949,795.118248,0.004000,4
19.722168,825.977985,0.004000,4
19.198242,780.819098,0.005000,5
19.962402,891.322317,0.004000,4
19.090820,821.638236,0.004000,4
18.644531,794.622665,0.006000,6
19.391113,812.868026,0.005000,5
19.504883,822.332007,0.004000,4
18.896973,810.582647,0.005000,5
19.368652,821.250326,0.004000,4
19.542480,812.340969,0.004000,4
19.526855,858.523693,0.005000,5
20.012695,859.377769,0.005000,5
20.101074,862.296913,0.003000,3
19.918457,865.371769,0.004000,4
18.427734,804.416653,0.004000,4
18.774414,796.164931,0.004000,4
18.807129,771.059969,0.003000,3
18.622070,787.542716,0.003000,3
20.148926,892.276161,0.004000,4
19.001465,795.092283,0.005000,5
18.845215,821.449186,0.004000,4
20.044434,830.373514,0.003000,3
19.338867,824.883216,0.005000,5
19.098633,821.141639,0.005000,5
19.249512,811.005615,0.004000,4
18.839355,795.028393,0.005000,5
19.353027,799.970587,0.005000,5
19.182129,782.148958,0.005000,5
18.353516,777.311550,0.005000,5
19.440918,798.073658,0.004000,4
18.812012,761.121399,0.006000,6
19.394043,835.509281,0.004000,4
19.098633,841.665076,0.004000,4
19.501465,827.333982,0.004000,4
19.841309,869.156946,0.004000,4
19.457520,850.194484,0.004000,4
19.125977,812.990966,0.003000,3
18.720215,758.460294,0.007000,7
20.060547,888.087154,0.004000,4
20.079102,840.861907,0.005000,5
18.465332,781.698993,0.005000,5
18.765137,803.592788,0.004000,4
20.237793,882.224216,0.004000,4
19.395020,831.485073,0.004000,4
19.689941,820.919977,0.004000,4
19.568359,835.800991,0.004000,4
20.050293,871.653232,0.002000,2
19.375000,866.879883,0.003000,3
18.428711,765.028121,0.004000,4
18.584473,804.129583,0.004000,4
18.454590,799.502821,0.005000,5
17.953125,716.397217,0.004000,4
19.069336,776.751052,0.004000,4
18.286621,771.086305,0.005000,5
19.895020,878.067592,0.003000,3
18.045898,780.614104,0.004000,4
17.638184,716.293405,0.005000,5
19.101562,780.187927,0.004000,4
19.436035,823.972471,0.004000,4
19.876465,859.561399,0.004000,4
20.117676,866.565742,0.005000,5
19.280762,830.433380,0.004000,4
19.016602,828.446013,0.004000,4
19.342773,792.604186,0.004000,4
18.516113,772.705795,0.005000,5
18.228027,773.840093,0.004000,4
19.562500,835.093750,0.004000,4
19.545898,796.235198,0.005000,5
19.277832,807.477009,0.004000,4
18.814453,827.724361,0.004000,4
18.497559,818.724603,0.003000,3
19.497070,815.664054,0.004000,4
19.624023,816.831298,0.004000,4
19.016602,817.938201,0.005000,5
19.785156,820.134506,0.004000,4
18.658691,780.418176,0.005000,5
18.458496,788.211168,0.004000,4
19.172852,809.712310,0.004000,4
18.798340,819.215681,0.007000,7
20.907227,888.629088,0.004000,4
19.106445,779.678123,0.003000,3
19.041016,784.387966,0.003000,3
19.308105,793.195598,0.004000,4
18.874023,805.318114,0.005000,5
18.874023,805.318114,0.005000,5
String tested,Total calculation time(milis)
ImDNfLbXCGx,33768
