Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
537.519531,361.620712,0.006000,6
523.247070,598.782706,0.005000,5
504.282227,867.062926,0.005000,5
478.540039,1179.948592,0.005000,5
452.373047,1394.856930,0.006000,6
422.724609,1634.861660,0.005000,5
394.414062,1930.223083,0.005000,5
362.788086,2192.373061,0.006000,6
328.974609,2286.057949,0.006000,6
296.357422,2347.962093,0.005000,5
266.791992,2673.937201,0.005000,5
233.002930,2696.011710,0.005000,5
202.661133,2765.135169,0.004000,4
202.661133,2765.135169,0.004000,4
String tested,Total calculation time(milis)
ImDNfLbXCGx,89
