Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
537.631836,360.260940,0.015000,15
487.475586,780.004287,0.004000,4
435.942383,1166.983008,0.005000,5
384.243164,1412.415481,0.006000,6
326.582031,1232.165146,0.005000,5
274.472656,1375.796127,0.004000,4
213.857422,1468.421078,0.004000,4
156.591797,1302.056026,0.005000,5
108.925781,1200.701523,0.011000,11
62.651367,882.081580,0.005000,5
62.651367,882.081580,0.005000,5
String tested,Total calculation time(milis)
WYoCRnrbkQe,1915
