Averaged Fitness Value,Standard Deviation value,calculation time(milis)
288.244629,3236.311739,6
191.791016,1207.783474,7
143.891113,1012.032577,7
108.106445,831.776755,7
82.826660,752.113020,7
66.610352,788.395049,7
53.847656,725.141830,6
46.364746,752.555925,7
41.780762,796.653595,6
37.430664,824.561599,8
31.328613,752.993088,8
29.444336,754.633620,9
28.028809,757.192041,8
27.291992,812.570014,7
25.597168,750.268879,9
24.572266,740.743801,8
25.204590,781.107069,9
23.613770,736.058346,8
25.167969,833.243271,9
24.220703,831.260860,9
21.677246,715.482256,8
22.112305,789.726645,9
21.678711,758.410445,12
20.816895,743.591961,11
20.662598,778.560476,10
20.694336,779.069655,11
20.074219,757.260117,11
20.043945,789.641623,10
20.550781,805.206406,10
20.317871,811.287142,10
20.170898,775.581145,10
19.851074,790.873817,9
19.863770,776.736812,10
19.757812,760.381775,9
19.804199,780.968986,9
20.790039,828.060409,10
19.244629,727.269747,10
19.273438,744.085388,10
20.666016,824.815212,11
19.848633,784.788611,12
19.697266,796.802883,10
19.489258,780.661017,10
20.286133,776.564612,10
20.748535,847.082762,10
19.243652,777.839559,11
20.579590,823.955580,11
20.577148,781.677642,12
19.208496,755.704088,12
20.684570,838.511832,11
20.218750,806.614258,14
19.930664,803.681716,13
19.667969,768.767685,12
20.179199,829.117790,13
19.703125,797.309326,10
20.533691,789.178552,11
20.552246,856.827348,11
19.501953,756.911129,12
19.412109,781.185635,11
20.807617,837.281348,12
20.279297,813.510860,10
19.958008,809.588080,12
19.301758,741.228278,11
20.819824,815.563728,11
19.528320,761.608573,12
20.504883,796.545875,11
19.810059,785.169489,10
20.526367,788.970008,9
18.946777,752.721288,9
19.822266,807.484035,10
20.471680,806.519706,10
19.815918,764.491016,10
20.651855,826.223034,9
20.073242,762.062018,10
20.716309,872.620203,10
19.883789,788.984542,9
19.866211,825.705733,9
20.201660,796.216657,11
20.098633,789.370154,9
19.471191,767.844873,9
20.357910,797.385084,9
20.554199,807.224602,9
19.853027,779.310919,9
20.645508,814.133124,9
21.018066,843.382974,10
20.785645,849.570751,9
19.364258,783.843879,10
19.547852,773.370757,10
19.909668,794.620258,9
19.508789,768.213790,12
20.747559,848.949457,12
19.794434,772.634012,12
19.807129,796.049227,12
21.070801,818.249382,12
20.186523,813.316772,10
19.865234,807.160549,9
20.407715,819.200468,11
19.632324,786.483467,10
20.314941,794.138605,12
20.033691,767.571619,10
19.779297,822.165157,11
20.467285,803.231352,10
19.953613,780.578415,11
20.275879,816.242738,10
19.769531,817.621689,9
20.629395,824.613140,11
20.383301,815.741264,11
20.273926,816.008461,13
19.907227,779.138854,9
19.562988,742.101501,9
20.425781,826.016953,10
20.542969,789.592880,10
19.126465,754.493284,9
19.522949,776.379356,10
20.810059,835.219293,10
20.258301,814.797050,10
20.113770,772.722896,9
20.261719,804.405136,9
20.665527,821.733343,10
19.448242,775.634040,9
19.124023,740.618407,10
19.511230,815.274288,10
19.438965,798.510923,9
19.063477,731.979369,9
20.234375,806.728271,10
19.197754,754.971147,8
20.355957,821.529056,9
19.276367,813.018348,9
18.434082,688.725147,10
20.269531,795.772079,10
20.160645,807.312572,10
20.583496,823.223497,10
21.014160,844.055952,10
20.441895,836.156780,13
19.759766,819.419827,9
20.452148,797.083648,13
19.837402,818.561941,10
19.220215,777.763517,9
20.014648,781.654082,10
20.387695,780.414145,10
20.319824,811.162849,10
19.609375,812.037842,10
19.412598,804.087087,9
20.454102,819.544768,10
20.552734,796.272610,11
19.703125,784.844482,12
20.781250,825.759766,12
19.463379,767.027956,10
19.187988,762.397766,10
20.084961,804.647079,9
19.688965,806.632261,9
21.244141,825.140591,9
20.238281,796.761581,10
19.729492,760.675849,9
20.303223,789.298193,11
19.536133,759.503577,10
18.833496,783.048937,8
21.032715,840.735746,9
20.496094,836.573227,10
20.482422,810.401058,11
19.536621,761.587526,10
19.091797,730.161495,9
19.625000,743.623047,9
19.845215,818.635710,9
19.635254,810.693620,11
19.299805,795.576133,11
19.502930,784.790030,11
19.678711,826.200484,10
19.107910,757.820875,10
19.600098,766.855215,10
19.924805,776.591025,10
20.689941,780.179743,9
19.658203,818.332394,9
19.751953,771.517574,11
19.169434,761.456156,10
19.553711,773.097701,11
19.946289,751.890670,11
19.746094,766.647446,11
20.163574,789.492286,10
19.339355,774.732982,12
19.601562,823.302185,11
19.871582,787.622669,13
20.045410,807.475965,12
20.765137,829.868179,11
19.643555,783.124900,9
19.724609,812.594082,13
18.798340,738.357282,11
20.605469,818.539658,11
19.940430,780.324576,10
20.655762,838.822418,10
20.145020,785.487270,12
18.938477,738.715941,11
19.825195,778.834678,10
19.656738,787.969574,11
19.736816,760.537668,11
18.695312,742.811462,11
19.472656,763.083237,11
19.980957,770.837040,11
20.294434,809.569071,11
20.371582,848.916126,11
20.216797,782.316280,11
19.542969,808.033310,10
20.669434,805.728128,12
20.671387,769.580978,9
20.605957,824.815922,11
19.682617,756.451026,9
19.893555,796.268943,11
19.653809,788.277124,11
20.071289,767.584762,13
18.834961,751.612411,10
20.014160,787.103803,10
19.042969,747.297958,9
21.361816,896.968210,9
20.332031,807.770615,10
20.734375,802.207764,10
19.291992,759.289741,11
19.717285,805.654936,11
20.684570,812.674918,10
20.556641,822.556362,10
20.225098,843.942007,10
19.336914,781.189223,11
20.135742,848.998176,11
20.132812,808.821228,12
20.132812,808.821228,12
String tested,Total calculation time(milis)
wBGDMlOfVTJ,2410
