Averaged Fitness Value,Standard Deviation value,calculation time(milis)
327.569824,3800.686531,7
220.813965,1396.237364,5
167.686523,1043.621459,8
130.729980,909.615078,7
98.687012,799.143738,7
81.884277,852.091589,6
66.179199,792.520134,7
54.136719,787.296738,7
46.048828,815.275936,7
39.938965,887.802427,7
33.503418,773.079090,7
31.571289,788.628707,7
29.995605,840.844219,8
28.247559,859.088617,8
27.421387,842.229172,7
25.043945,792.198264,9
24.903809,835.069360,8
24.099121,847.308046,9
24.478027,849.687994,8
24.657227,838.381530,9
23.087402,775.508474,7
24.382812,856.128845,8
24.275391,847.951504,9
23.402832,794.427082,9
23.578125,825.528076,9
23.993652,863.023885,9
22.151855,832.024303,9
22.161133,846.259192,10
22.628906,895.565414,10
21.788574,841.645241,11
21.788574,841.645241,11
String tested,Total calculation time(milis)
DhXGuTbVcpMA,264
