Averaged Fitness Value,Standard Deviation value,calculation time(milis)
333.405762,4208.067291,6
223.198730,1270.635799,6
171.461426,1073.894996,6
134.935059,887.213068,5
106.666992,840.506293,7
86.027832,885.819050,8
67.619629,789.062837,6
56.838867,780.801185,7
50.371094,872.928696,7
43.619141,908.012173,7
36.453613,812.810348,7
32.807617,832.946387,8
31.301270,846.627498,8
29.924316,918.081674,8
29.119141,883.163540,9
26.093750,797.995117,6
25.823730,843.498714,8
25.544922,900.902279,8
24.640625,871.208740,10
23.948730,865.028133,7
21.276855,801.993175,8
22.616211,891.646651,8
21.990723,881.234777,10
20.713867,831.665198,9
19.928711,832.684371,10
21.375000,894.953125,9
20.545898,869.263518,11
20.246094,841.732407,9
21.597656,891.413315,10
21.050293,875.154209,9
21.046875,864.674561,9
20.463867,882.965491,11
20.798828,894.246639,9
20.810547,859.752193,9
21.059570,902.130240,10
21.467285,876.455961,9
19.951660,829.608503,9
21.029785,899.555265,10
21.555176,918.050667,9
19.937500,826.506836,9
20.240234,858.619045,10
21.319824,937.756599,8
20.611816,835.308786,9
22.304199,960.862053,10
19.619141,855.601040,9
21.894043,944.250004,10
21.507812,880.957947,10
20.675781,895.709335,9
21.924805,958.089072,9
21.585449,930.825706,9
20.729492,886.956122,9
20.697266,892.476711,10
21.160645,939.383861,10
20.770508,897.935615,10
21.688965,883.353941,9
21.053711,946.645553,10
21.212402,931.837209,9
20.303223,846.669286,9
21.977051,959.682579,11
21.129883,905.446998,9
20.611816,889.191599,9
20.718750,877.876953,9
21.320312,895.321228,9
20.975098,869.802603,10
20.951172,876.986874,10
21.186523,921.732787,9
21.759766,904.531155,9
19.367676,796.673897,10
20.829590,888.249769,11
20.746094,846.923813,11
20.528809,841.274561,10
21.478516,890.785671,11
21.338867,891.253333,11
20.990234,899.145412,10
20.062500,851.296875,9
21.522461,947.873519,10
20.804688,887.043884,10
21.537109,908.021084,10
20.422852,860.814361,10
21.038086,893.248549,10
21.232910,883.360304,9
21.742676,941.772163,10
21.311523,918.662719,11
21.676758,937.448249,10
21.724121,917.904848,11
20.173340,891.566145,11
20.820312,869.369080,11
20.629883,887.612037,11
20.354004,859.352709,10
21.724121,965.192934,11
20.346680,862.790946,11
20.817383,908.527198,11
21.443359,858.110073,9
21.196289,926.392135,11
20.583984,874.606228,10
21.043457,893.139225,11
20.885254,892.002947,9
21.698242,903.683356,10
20.610352,877.384307,16
20.109375,846.567139,10
22.167969,923.966904,10
20.066406,819.773911,10
21.734375,942.051514,9
