Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
378.707031,4528.720810,0.015000,15
261.883789,1701.352706,0.004000,4
196.143555,1181.555564,0.005000,5
151.245605,919.409893,0.005000,5
118.881348,815.981527,0.004000,4
95.652832,830.506916,0.003000,3
77.410156,778.292709,0.003000,3
62.710449,769.389305,0.004000,4
53.127930,833.193595,0.005000,5
44.920410,806.987318,0.005000,5
38.117188,747.085876,0.005000,5
34.590332,770.208637,0.005000,5
32.207031,820.943466,0.004000,4
30.473145,832.104748,0.004000,4
27.800293,802.128574,0.004000,4
25.407715,765.489530,0.004000,4
24.742188,824.329041,0.004000,4
25.107910,810.497633,0.004000,4
23.775879,815.860414,0.004000,4
23.802246,832.722124,0.005000,5
21.811523,777.313109,0.006000,6
22.547363,863.797561,0.004000,4
21.623047,800.664547,0.004000,4
20.337402,817.342703,0.005000,5
20.291504,831.860826,0.003000,3
20.218750,816.434570,0.004000,4
18.344727,762.216125,0.004000,4
20.067383,888.185889,0.004000,4
20.044434,877.986795,0.004000,4
19.890625,842.230225,0.004000,4
19.270020,800.539882,0.004000,4
19.166992,851.499457,0.004000,4
19.392090,864.722730,0.004000,4
20.200195,816.215781,0.005000,5
19.418457,868.512882,0.003000,3
19.749023,830.337401,0.004000,4
19.005371,809.721163,0.004000,4
19.514160,844.905073,0.004000,4
19.634277,833.950720,0.004000,4
18.717773,818.018981,0.005000,5
19.164062,832.266052,0.003000,3
19.266602,823.375213,0.004000,4
18.934082,802.252002,0.004000,4
20.930176,943.762214,0.004000,4
18.831055,849.979270,0.004000,4
20.648926,880.278602,0.005000,5
19.806152,852.416036,0.004000,4
19.336914,863.288833,0.005000,5
20.753906,952.726547,0.004000,4
19.836426,838.481544,0.004000,4
18.635742,807.714972,0.004000,4
20.184570,882.647574,0.005000,5
18.500488,797.726562,0.004000,4
19.434570,834.583610,0.004000,4
20.915527,899.766790,0.003000,3
18.864258,841.961066,0.004000,4
19.289551,825.715477,0.005000,5
19.478027,853.304205,0.004000,4
20.026367,856.757117,0.004000,4
19.592285,884.719999,0.004000,4
20.225098,900.924429,0.004000,4
19.049805,815.408652,0.004000,4
19.641113,837.763290,0.004000,4
20.217773,869.286559,0.004000,4
19.108887,783.661484,0.004000,4
19.251953,833.874996,0.003000,3
19.873535,860.762815,0.004000,4
18.551758,795.252204,0.003000,3
19.323730,839.781429,0.004000,4
19.301758,832.651130,0.005000,5
20.098633,863.693397,0.004000,4
20.037109,852.938076,0.004000,4
20.000977,871.579101,0.005000,5
19.748047,879.313473,0.004000,4
19.134766,855.227932,0.005000,5
20.381836,895.799514,0.004000,4
19.252930,864.747550,0.004000,4
20.397461,891.530501,0.005000,5
18.838379,802.213625,0.005000,5
20.302246,867.462847,0.004000,4
19.480469,854.439072,0.004000,4
20.423340,896.797834,0.005000,5
19.428711,815.081832,0.004000,4
20.189941,906.986871,0.004000,4
19.818359,863.972866,0.004000,4
19.212402,854.574514,0.004000,4
19.650391,864.491055,0.004000,4
18.790527,798.575750,0.004000,4
18.863770,813.295406,0.004000,4
20.410156,881.089584,0.005000,5
19.051270,830.292782,0.004000,4
19.449219,868.492538,0.004000,4
21.187012,896.700866,0.004000,4
18.576172,815.744198,0.003000,3
19.256836,827.516067,0.003000,3
19.722656,877.172104,0.003000,3
19.100098,811.229727,0.004000,4
20.270508,858.928779,0.004000,4
18.728516,820.085476,0.004000,4
19.205566,826.472879,0.004000,4
20.778809,861.476953,0.005000,5
18.776367,822.393348,0.004000,4
19.895996,884.832445,0.006000,6
19.704590,875.977674,0.003000,3
20.056641,888.097378,0.004000,4
20.160156,874.126694,0.003000,3
19.502930,854.290030,0.004000,4
18.589355,811.539867,0.003000,3
19.816406,827.857895,0.004000,4
19.681641,886.233608,0.004000,4
19.795410,840.647108,0.003000,3
19.775391,894.444668,0.004000,4
18.702637,810.252884,0.005000,5
20.596191,929.906763,0.004000,4
20.166504,823.496202,0.004000,4
20.048828,872.530819,0.005000,5
20.045410,889.547254,0.003000,3
19.806641,864.042690,0.004000,4
19.474609,864.106777,0.004000,4
18.212891,819.482021,0.004000,4
19.499023,853.398437,0.005000,5
18.666504,822.621691,0.004000,4
18.947266,841.092922,0.003000,3
18.947266,841.092922,0.003000,3
String tested,Total calculation time(milis)
BqpvuWiNKJDeE,26012
