Averaged Fitness Value,Standard Deviation value,calculation time(milis)
326.953125,3393.831787,7
228.562988,1239.293884,6
175.839355,936.048900,8
136.894531,781.760361,6
108.068359,681.183804,7
88.692871,727.300691,8
70.441895,701.043499,6
56.368164,679.153518,7
50.156250,713.675781,7
44.625977,755.527099,7
39.168457,702.136173,8
35.769531,698.753525,7
33.369141,789.947720,8
32.165527,821.370550,7
30.364746,766.528581,7
28.239258,703.336310,7
27.692383,763.270606,9
27.517090,749.474317,7
26.120117,792.337134,8
25.525879,778.214174,9
22.897949,705.882652,8
23.523438,780.218201,7
22.616699,770.229545,9
21.500488,740.049804,9
21.591797,768.015011,8
21.525879,771.622377,8
20.244141,774.482388,9
20.424805,794.353721,11
19.965820,774.140433,10
20.321289,778.269820,11
19.845703,781.102169,11
19.118164,767.286819,12
18.723145,800.782238,13
19.861328,784.164364,12
18.478027,767.876470,11
19.095703,765.027950,13
18.394043,751.807132,11
19.055176,788.508186,12
18.825684,755.346079,12
18.166016,751.203884,12
18.663086,786.204848,13
18.976562,794.351990,11
18.375488,751.721802,11
20.242676,855.513862,13
18.597656,813.504135,12
19.912598,820.252615,11
19.051270,770.934383,12
18.675781,793.822617,11
19.625977,824.184325,13
19.318848,789.778707,11
17.748047,715.416988,11
19.681641,833.230679,11
18.080566,763.952982,13
19.086914,795.942641,12
20.367676,838.549873,11
17.869141,739.069790,12
18.786621,785.839723,11
19.047363,808.010940,12
19.417969,803.782333,11
18.685059,793.305597,11
19.785645,835.534618,12
18.566406,767.645004,11
19.095215,787.333219,13
19.731445,807.488425,12
18.950684,775.295908,13
19.005859,810.413052,12
19.249512,796.430420,12
18.099609,746.449062,12
18.901855,792.302379,11
18.802734,774.556789,12
19.669922,805.848080,17
19.460938,804.332458,12
19.305664,798.938796,12
19.118164,816.741897,11
18.812500,817.210938,13
19.809570,830.545768,13
18.459961,782.367537,12
19.834961,828.602645,13
18.662598,776.051687,12
19.535645,802.293651,11
19.023438,789.046326,11
19.910645,840.773754,12
19.099609,784.505703,12
19.548340,844.930280,13
19.362305,815.171470,13
18.794434,819.850809,11
18.769531,763.343369,11
18.215332,748.064472,11
18.545410,794.632704,12
19.869141,825.137173,13
18.835449,810.658958,16
18.837891,799.275478,12
20.700684,831.111093,12
18.269531,790.403915,11
18.699219,770.216171,12
19.318359,823.780483,12
18.680176,775.256599,11
19.924805,805.185752,12
18.249023,778.479980,11
18.511230,755.381710,12
20.144043,815.720951,16
18.052734,734.589016,12
19.432129,832.247347,11
18.964355,794.607616,12
19.377930,797.067130,12
19.914062,845.943787,12
18.966797,795.161007,11
18.125488,759.889038,11
19.208984,769.877224,12
19.171875,828.875732,11
18.989746,750.957414,11
19.014648,823.547637,12
18.206543,745.289860,11
19.783691,836.551355,12
19.460449,784.170311,12
19.388672,816.011044,11
19.193848,805.719747,12
19.051758,780.362556,11
18.930664,809.899489,13
17.725586,761.500869,11
18.723633,778.108191,12
18.206543,760.396305,11
18.206543,760.396305,11
String tested,Total calculation time(milis)
UIEZSTRqKBmJA,1431
