Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
326.953125,3393.831787,0.006000,6
228.562988,1239.293884,0.005000,5
175.839355,936.048900,0.004000,4
136.894531,781.760361,0.005000,5
108.068359,681.183804,0.004000,4
88.692871,727.300691,0.004000,4
70.441895,701.043499,0.004000,4
56.368164,679.153518,0.003000,3
50.156250,713.675781,0.004000,4
44.625977,755.527099,0.004000,4
39.168457,702.136173,0.005000,5
35.769531,698.753525,0.004000,4
33.369141,789.947720,0.004000,4
32.165527,821.370550,0.004000,4
30.364746,766.528581,0.004000,4
28.239258,703.336310,0.003000,3
27.692383,763.270606,0.004000,4
27.517090,749.474317,0.004000,4
26.120117,792.337134,0.004000,4
25.525879,778.214174,0.004000,4
22.897949,705.882652,0.004000,4
23.523438,780.218201,0.004000,4
22.616699,770.229545,0.004000,4
21.500488,740.049804,0.003000,3
21.591797,768.015011,0.005000,5
21.525879,771.622377,0.004000,4
20.244141,774.482388,0.003000,3
20.424805,794.353721,0.004000,4
19.965820,774.140433,0.005000,5
20.321289,778.269820,0.005000,5
19.845703,781.102169,0.004000,4
19.118164,767.286819,0.004000,4
18.723145,800.782238,0.004000,4
19.861328,784.164364,0.004000,4
18.478027,767.876470,0.004000,4
19.095703,765.027950,0.003000,3
18.394043,751.807132,0.003000,3
19.055176,788.508186,0.003000,3
18.825684,755.346079,0.004000,4
18.166016,751.203884,0.004000,4
18.663086,786.204848,0.006000,6
18.976562,794.351990,0.004000,4
18.375488,751.721802,0.005000,5
20.242676,855.513862,0.004000,4
18.597656,813.504135,0.004000,4
19.912598,820.252615,0.004000,4
19.051270,770.934383,0.004000,4
18.675781,793.822617,0.004000,4
19.625977,824.184325,0.004000,4
19.318848,789.778707,0.004000,4
17.748047,715.416988,0.005000,5
19.681641,833.230679,0.005000,5
18.080566,763.952982,0.005000,5
19.086914,795.942641,0.004000,4
20.367676,838.549873,0.004000,4
17.869141,739.069790,0.004000,4
18.786621,785.839723,0.003000,3
19.047363,808.010940,0.004000,4
19.417969,803.782333,0.005000,5
18.685059,793.305597,0.004000,4
19.785645,835.534618,0.004000,4
18.566406,767.645004,0.003000,3
19.095215,787.333219,0.004000,4
19.731445,807.488425,0.004000,4
18.950684,775.295908,0.005000,5
19.005859,810.413052,0.004000,4
19.249512,796.430420,0.004000,4
18.099609,746.449062,0.004000,4
18.901855,792.302379,0.004000,4
18.802734,774.556789,0.003000,3
19.669922,805.848080,0.004000,4
19.460938,804.332458,0.003000,3
19.305664,798.938796,0.003000,3
19.118164,816.741897,0.004000,4
18.812500,817.210938,0.004000,4
19.809570,830.545768,0.004000,4
18.459961,782.367537,0.004000,4
19.834961,828.602645,0.003000,3
18.662598,776.051687,0.005000,5
19.535645,802.293651,0.003000,3
19.023438,789.046326,0.004000,4
19.910645,840.773754,0.004000,4
19.099609,784.505703,0.004000,4
19.548340,844.930280,0.004000,4
19.362305,815.171470,0.004000,4
18.794434,819.850809,0.004000,4
18.769531,763.343369,0.004000,4
18.215332,748.064472,0.004000,4
18.545410,794.632704,0.003000,3
19.869141,825.137173,0.003000,3
18.835449,810.658958,0.004000,4
18.837891,799.275478,0.004000,4
20.700684,831.111093,0.004000,4
18.269531,790.403915,0.004000,4
18.699219,770.216171,0.004000,4
19.318359,823.780483,0.003000,3
18.680176,775.256599,0.003000,3
19.924805,805.185752,0.003000,3
18.249023,778.479980,0.005000,5
18.511230,755.381710,0.005000,5
20.144043,815.720951,0.003000,3
18.052734,734.589016,0.004000,4
19.432129,832.247347,0.004000,4
18.964355,794.607616,0.004000,4
19.377930,797.067130,0.005000,5
19.914062,845.943787,0.004000,4
18.966797,795.161007,0.003000,3
18.125488,759.889038,0.004000,4
19.208984,769.877224,0.004000,4
19.171875,828.875732,0.004000,4
18.989746,750.957414,0.004000,4
19.014648,823.547637,0.004000,4
18.206543,745.289860,0.004000,4
19.783691,836.551355,0.003000,3
19.460449,784.170311,0.004000,4
19.388672,816.011044,0.004000,4
19.193848,805.719747,0.005000,5
19.051758,780.362556,0.004000,4
18.930664,809.899489,0.004000,4
17.725586,761.500869,0.004000,4
18.723633,778.108191,0.004000,4
18.206543,760.396305,0.004000,4
18.310547,757.444576,0.004000,4
18.310547,757.444576,0.004000,4
String tested,Total calculation time(milis)
UIEZSTRqKBmJA,25892
