Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.006836,446.705031,0.008000,8
628.515625,848.382568,0.007000,7
571.362305,1083.544517,0.007000,7
513.227539,1108.186507,0.007000,7
454.604492,1381.191230,0.006000,6
389.731445,1641.089988,0.005000,5
324.526367,1640.791297,0.006000,6
249.916992,1243.498969,0.005000,5
196.640625,1158.050537,0.005000,5
150.278320,1157.881522,0.005000,5
108.217773,1443.942809,0.004000,4
60.703125,769.818115,0.005000,5
60.375977,795.122313,0.004000,4
61.728516,873.184109,0.005000,5
59.960938,780.467224,0.005000,5
60.019531,796.581650,0.005000,5
60.493164,822.461867,0.005000,5
60.590820,812.102103,0.004000,4
60.732422,819.190121,0.004000,4
60.268555,790.015769,0.004000,4
61.083984,817.867947,0.004000,4
60.190430,805.969596,0.005000,5
60.571289,821.695113,0.004000,4
59.584961,746.849227,0.004000,4
61.157227,851.151061,0.004000,4
61.123047,789.949703,0.004000,4
60.527344,834.682846,0.004000,4
60.966797,791.350460,0.004000,4
60.200195,783.797812,0.004000,4
61.191406,804.439926,0.004000,4
61.386719,826.006699,0.004000,4
60.410156,808.523178,0.003000,3
60.830078,822.748470,0.003000,3
61.303711,791.708541,0.004000,4
60.351562,806.028748,0.004000,4
60.444336,774.656081,0.004000,4
60.854492,790.627265,0.004000,4
61.313477,820.979857,0.004000,4
60.849609,803.868008,0.004000,4
60.434570,783.453727,0.004000,4
60.273438,812.034607,0.004000,4
61.166992,821.636176,0.004000,4
60.512695,776.934409,0.005000,5
61.899414,890.874648,0.004000,4
60.332031,798.424911,0.004000,4
61.000977,819.164062,0.004000,4
60.839844,816.189194,0.005000,5
60.942383,819.570899,0.005000,5
61.020508,822.933173,0.005000,5
61.015625,826.116943,0.006000,6
60.566406,776.925278,0.005000,5
60.966797,813.909054,0.005000,5
59.819336,784.586501,0.003000,3
61.132812,835.630798,0.005000,5
62.075195,846.816611,0.004000,4
59.716797,774.529171,0.004000,4
60.981445,803.577781,0.004000,4
60.942383,817.227149,0.004000,4
61.240234,798.266506,0.004000,4
60.649414,833.513808,0.004000,4
61.787109,881.278896,0.004000,4
60.336914,764.193130,0.005000,5
61.713867,829.045081,0.004000,4
61.186523,831.648803,0.005000,5
61.186523,831.648803,0.005000,5
String tested,Total calculation time(milis)
gtiucDfjFoUmwY,13190
