Averaged Fitness Value,Standard Deviation value,calculation time(milis)
438.150879,5852.797060,7
302.581055,2026.701438,6
232.955078,1875.597591,7
165.757324,1141.624214,6
126.563477,998.122924,7
101.416016,978.327908,8
77.596680,826.499442,6
65.311523,855.190063,8
57.291504,974.752428,7
50.514160,900.476362,7
44.221680,850.428397,7
42.243652,883.874716,7
39.989746,945.796282,8
38.281250,934.025391,8
34.972656,872.201401,7
33.311523,911.258422,7
31.954102,928.150237,9
30.377930,891.242911,8
29.458496,974.876207,8
27.098145,873.742809,7
26.510254,893.526262,9
26.247070,940.656730,8
26.085449,935.346702,8
24.556641,922.429409,9
24.143555,949.493064,9
24.542480,904.156399,10
23.083008,950.780219,10
24.363770,983.143551,9
23.257812,932.847595,10
23.884277,957.953893,10
23.649902,970.437490,9
21.505859,908.443325,11
22.954102,1003.788909,8
23.117188,929.204041,10
22.728516,995.299343,8
22.329102,918.237395,9
22.801270,963.894588,10
22.308105,961.002239,9
22.629395,947.987163,10
21.893555,906.051169,10
22.723145,983.612316,11
22.809570,964.422721,10
21.892090,900.764234,9
23.598145,1038.892711,16
22.389160,955.675215,10
22.652832,939.166095,10
22.957031,982.952255,10
22.920410,1004.872083,10
23.898438,1072.817810,12
22.792969,960.525497,9
22.186035,914.054746,10
22.231445,948.176902,10
21.841797,920.654659,9
22.826660,970.852278,10
23.792969,994.200302,9
21.898926,949.491249,9
22.705566,950.970438,8
22.155273,927.525695,9
23.062500,983.309570,8
22.137207,956.598850,11
23.315918,1012.176075,9
21.894043,902.266605,11
23.097656,965.861557,10
22.962891,997.758389,10
21.698730,896.358944,10
21.750977,959.970214,11
21.486816,935.367990,11
21.673340,953.968977,10
21.014648,927.414824,10
21.767090,951.280226,12
22.006836,971.379836,5
21.596191,924.086450,16
22.158691,979.308313,12
21.387207,981.347629,10
22.042969,1012.465927,10
21.344238,945.872223,10
21.461426,964.635231,10
22.200684,975.028574,11
20.670410,914.423109,10
22.983398,1017.674529,9
21.438477,948.294066,9
22.346191,981.892359,9
21.939941,966.200983,10
22.271973,1034.184332,12
21.928223,985.402563,12
20.723633,934.306434,10
21.561035,916.004087,11
21.060547,935.132076,10
20.944824,954.913460,9
23.179688,1043.806580,10
21.070801,950.189811,9
21.515137,956.449966,9
22.394531,969.169540,11
20.958496,939.736070,9
21.782227,957.486754,9
21.740234,1001.437405,9
21.572754,948.708574,10
22.331543,940.843693,9
19.980957,888.419071,10
21.957520,958.674465,9
21.757812,905.418884,11
21.033203,907.781124,10
21.374512,964.362182,10
22.259766,1010.848537,9
22.416992,1005.775336,11
21.526855,956.326427,9
21.996582,987.955555,10
20.677734,921.193020,10
22.204102,945.229827,9
21.611816,1000.109567,10
21.659180,952.356498,11
21.476562,974.083435,9
21.594238,965.479400,10
21.985352,980.315215,10
21.916016,948.950954,9
21.813477,944.307982,10
22.607422,1047.958187,10
21.626953,957.528805,9
20.609375,904.591553,10
21.491699,988.918876,10
20.775879,957.592836,9
20.584473,919.277044,9
21.014648,921.112090,10
21.186523,900.587279,10
21.582520,982.108425,10
21.041504,955.156969,10
20.164551,895.060325,9
20.967285,911.084379,9
22.017090,998.409376,11
21.852539,972.027083,9
22.879883,1031.676002,10
23.053223,1069.548437,10
20.234863,905.306656,10
22.313965,991.311094,9
21.319824,947.491951,10
20.827148,941.141997,9
21.537109,956.964443,10
21.417969,877.636826,11
22.033203,1020.442257,9
21.302246,938.396440,11
20.560547,930.444576,11
21.919434,952.023294,9
21.753906,968.250961,11
22.274414,983.494033,9
21.725586,972.622939,9
21.621582,954.502796,11
20.631836,925.753127,9
21.112305,936.533286,9
21.571289,952.017379,11
22.162598,1000.533621,10
23.015137,1004.787369,10
21.187988,936.413391,10
21.530762,910.277374,10
21.084473,920.799017,9
20.697266,932.028469,10
22.026367,978.780555,10
22.603027,1009.666143,9
21.925293,956.900181,10
21.535156,958.988998,11
20.166992,859.937934,9
21.256836,916.725051,10
21.763672,975.978329,9
21.057617,965.639258,10
20.015137,944.889908,10
22.222656,1026.725815,10
20.615723,936.539343,9
21.354004,958.420091,9
20.851562,945.721130,9
22.586426,971.271827,10
20.683594,907.418442,9
22.135742,985.259894,10
21.291504,964.728014,17
21.113770,938.522701,9
20.584961,911.518172,10
21.179199,899.953727,10
20.905762,919.892975,9
21.902832,928.565265,10
21.563965,948.328916,9
20.696289,946.314010,10
21.443359,980.903042,9
20.692383,869.653419,10
22.992188,1030.540955,10
21.229492,938.346747,11
20.730957,948.763065,11
20.637695,899.941978,10
21.421387,968.637375,11
21.720215,945.838224,10
21.694824,936.695442,10
21.721191,975.811426,10
21.547363,939.309280,10
21.736328,973.582821,10
20.282715,890.904936,10
21.504883,960.361304,10
20.232910,906.075147,9
21.970703,998.004025,10
20.804688,930.258728,10
21.739746,954.744280,11
22.440430,1017.609733,18
21.047363,912.157425,11
21.910645,974.919262,11
21.924805,988.780478,11
21.921387,930.378097,11
22.452148,957.191070,12
21.804688,953.061462,10
20.794434,931.967996,10
21.961914,1004.225112,10
20.680176,912.119880,10
21.896973,958.691046,11
20.509766,909.098537,10
21.661621,965.732668,12
21.544434,980.845682,13
22.958008,1079.844916,13
20.156250,902.596680,13
20.045410,909.058973,12
20.023438,953.809021,12
20.758301,925.551445,12
21.403809,974.016138,14
20.333008,940.945746,12
19.448242,932.346931,12
20.467773,952.330016,11
20.713379,1001.399782,13
19.715332,936.485859,11
20.229004,984.382616,13
20.730469,999.987900,11
20.714844,1005.350327,14
20.687012,973.201355,12
20.364258,923.667121,12
20.640625,966.891357,13
20.728027,983.671636,12
20.659180,946.111381,11
21.953125,1001.425537,12
20.603027,936.662237,12
20.478516,983.687038,11
20.869141,998.872524,13
19.725098,897.965933,13
21.154297,970.885372,13
19.397461,890.897689,12
21.084473,1001.911321,12
19.895508,927.151191,12
21.342285,1000.400907,12
20.785645,976.937938,12
20.470703,971.895626,12
20.687012,947.762878,11
21.217285,939.868315,12
20.641602,1015.542449,12
20.250488,961.865478,11
20.893066,968.781046,12
20.836914,977.370864,12
21.365723,976.926306,11
19.715820,937.607718,12
19.675781,901.427109,12
19.977539,931.474105,14
19.763184,930.016672,12
20.738281,986.844589,13
21.607422,1017.273617,12
18.585938,868.637146,11
20.378418,928.299671,12
20.421387,958.983078,11
21.008789,965.724532,13
20.346191,963.034937,14
21.253418,1004.788807,12
20.342285,914.891142,12
20.653320,967.437430,12
20.382812,931.152283,12
20.083008,941.697211,13
