Averaged Fitness Value,Standard Deviation value,calculation time(milis)
682.006836,446.705031,10
628.515625,848.382568,9
571.362305,1083.544517,10
513.227539,1108.186507,8
454.604492,1381.191230,7
389.731445,1641.089988,9
324.526367,1640.791297,7
249.916992,1243.498969,7
196.640625,1158.050537,7
150.278320,1157.881522,7
108.217773,1443.942809,9
60.703125,769.818115,7
60.375977,795.122313,7
61.728516,873.184109,7
59.960938,780.467224,7
60.019531,796.581650,8
60.493164,822.461867,7
60.590820,812.102103,6
60.732422,819.190121,8
60.268555,790.015769,8
61.083984,817.867947,7
60.190430,805.969596,8
60.571289,821.695113,8
59.584961,746.849227,6
61.157227,851.151061,6
61.123047,789.949703,6
60.527344,834.682846,7
60.966797,791.350460,6
60.200195,783.797812,6
61.191406,804.439926,6
61.386719,826.006699,8
60.410156,808.523178,8
60.830078,822.748470,7
61.303711,791.708541,7
60.351562,806.028748,7
60.444336,774.656081,7
60.854492,790.627265,8
61.313477,820.979857,7
60.849609,803.868008,7
60.434570,783.453727,8
60.273438,812.034607,7
61.166992,821.636176,8
60.512695,776.934409,7
61.899414,890.874648,8
60.332031,798.424911,7
61.000977,819.164062,7
60.839844,816.189194,8
60.942383,819.570899,7
61.020508,822.933173,7
61.015625,826.116943,7
60.566406,776.925278,6
60.966797,813.909054,6
59.819336,784.586501,8
61.132812,835.630798,7
62.075195,846.816611,7
59.716797,774.529171,7
60.981445,803.577781,8
60.942383,817.227149,8
61.240234,798.266506,8
60.649414,833.513808,7
61.787109,881.278896,6
60.336914,764.193130,9
61.713867,829.045081,6
61.713867,829.045081,6
String tested,Total calculation time(milis)
gtiucDfjFoUmwY,510
