Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
438.150879,5852.797060,0.004000,4
302.581055,2026.701438,0.004000,4
232.955078,1875.597591,0.003000,3
165.757324,1141.624214,0.004000,4
126.563477,998.122924,0.004000,4
101.416016,978.327908,0.005000,5
77.596680,826.499442,0.004000,4
65.311523,855.190063,0.004000,4
57.291504,974.752428,0.004000,4
50.514160,900.476362,0.004000,4
44.221680,850.428397,0.004000,4
42.243652,883.874716,0.004000,4
39.989746,945.796282,0.003000,3
38.281250,934.025391,0.004000,4
34.972656,872.201401,0.004000,4
33.311523,911.258422,0.004000,4
31.954102,928.150237,0.003000,3
30.377930,891.242911,0.003000,3
29.458496,974.876207,0.003000,3
27.098145,873.742809,0.004000,4
26.510254,893.526262,0.003000,3
26.247070,940.656730,0.003000,3
26.085449,935.346702,0.005000,5
24.556641,922.429409,0.004000,4
24.143555,949.493064,0.005000,5
24.542480,904.156399,0.004000,4
23.083008,950.780219,0.004000,4
24.363770,983.143551,0.003000,3
23.257812,932.847595,0.005000,5
23.884277,957.953893,0.004000,4
23.649902,970.437490,0.003000,3
21.505859,908.443325,0.004000,4
22.954102,1003.788909,0.004000,4
23.117188,929.204041,0.005000,5
22.728516,995.299343,0.004000,4
22.329102,918.237395,0.004000,4
22.801270,963.894588,0.004000,4
22.308105,961.002239,0.003000,3
22.629395,947.987163,0.004000,4
21.893555,906.051169,0.004000,4
22.723145,983.612316,0.003000,3
22.809570,964.422721,0.003000,3
21.892090,900.764234,0.004000,4
23.598145,1038.892711,0.005000,5
22.389160,955.675215,0.004000,4
22.652832,939.166095,0.004000,4
22.957031,982.952255,0.003000,3
22.920410,1004.872083,0.003000,3
23.898438,1072.817810,0.004000,4
22.792969,960.525497,0.003000,3
22.186035,914.054746,0.004000,4
22.231445,948.176902,0.004000,4
21.841797,920.654659,0.004000,4
22.826660,970.852278,0.004000,4
23.792969,994.200302,0.003000,3
21.898926,949.491249,0.004000,4
22.705566,950.970438,0.003000,3
