Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
682.587891,436.759853,0.008000,8
627.924805,790.468955,0.007000,7
573.085938,1167.918396,0.006000,6
513.173828,1195.395565,0.006000,6
455.219727,1207.275939,0.006000,6
394.335938,1189.598083,0.009000,9
329.155273,1189.471984,0.006000,6
274.218750,1305.932617,0.009000,9
223.491211,1252.313399,0.006000,6
176.831055,995.280051,0.006000,6
138.500977,904.247069,0.004000,4
101.411133,1081.748939,0.005000,5
62.060547,788.039303,0.004000,4
61.552734,866.729641,0.004000,4
61.552734,866.729641,0.004000,4
String tested,Total calculation time(milis)
tNqgrmsvaBjKox,2739
