Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
730.043945,513.523459,0.008000,8
674.052734,959.747219,0.007000,7
612.685547,1346.889400,0.007000,7
539.843750,1626.440430,0.008000,8
467.758789,1396.881270,0.007000,7
397.714844,1678.274155,0.006000,6
332.490234,1962.939358,0.006000,6
254.453125,1565.521240,0.006000,6
197.490234,1449.658108,0.011000,11
151.806641,1212.556362,0.005000,5
108.085938,1330.516052,0.005000,5
108.085938,1330.516052,0.005000,5
String tested,Total calculation time(milis)
GQHuyIFBAolxagW,2119
