Averaged Fitness Value,Standard Deviation value,calculation time(milis)
424.707520,5247.268459,7
294.511230,1864.891475,6
225.027344,1369.371323,7
171.196289,967.414596,8
138.524414,827.035537,6
114.623535,875.193723,8
92.750977,799.813964,6
74.712402,751.958791,7
65.255859,808.313442,8
58.869141,827.113735,7
50.650391,735.533047,7
45.392090,777.927809,8
41.254883,844.946754,7
38.215332,832.704120,7
35.413086,820.263930,8
32.023926,784.324135,8
31.971191,823.059229,8
31.944336,846.174636,8
30.190430,851.994987,10
28.659180,799.527396,9
27.770996,810.947069,8
27.553711,903.029342,9
25.119141,778.902798,9
24.329102,849.549895,8
24.141113,850.145614,9
23.711426,823.548073,9
22.777344,873.598862,9
22.909668,859.639789,14
21.269531,844.276962,10
22.146973,869.282598,10
21.911133,880.953040,10
20.661133,792.661536,9
21.616211,873.048995,9
22.340820,864.850638,10
21.592773,863.367370,9
22.000977,879.133788,10
21.028809,861.569971,9
21.563477,811.928588,10
21.486816,838.671701,9
21.180176,826.504158,9
22.183105,909.091961,9
21.403320,847.145926,9
21.896484,890.809597,9
21.927246,895.847734,10
21.577148,884.359282,9
22.274414,875.374892,11
20.447266,857.232571,8
21.067871,903.612093,10
20.854980,889.746059,10
21.160156,870.893295,7
19.682129,795.532259,12
20.691406,894.209457,11
20.201172,831.288631,9
21.635742,904.217902,10
21.675293,913.270054,10
19.628906,847.478500,9
21.468262,906.624969,10
20.541016,841.757107,9
20.737305,877.574546,10
20.484863,895.623794,10
21.573242,899.349128,11
20.513184,845.986154,11
21.303223,872.200536,10
20.714844,829.246811,10
20.433105,837.947674,9
21.395996,890.236253,10
20.055664,834.368972,9
20.572754,851.895097,10
20.420410,859.530775,10
20.900879,868.490663,10
20.455566,805.293924,9
20.766113,837.381332,10
21.413574,912.572609,10
20.409180,886.432181,9
20.670898,882.400481,10
20.347656,824.818588,9
21.089355,880.300121,10
21.017578,891.186214,10
20.252441,842.646723,9
21.625000,909.409180,11
20.524902,855.361685,10
21.947266,928.006985,10
21.145508,877.362617,9
21.409180,902.043509,10
20.489746,885.178606,10
20.199707,863.184238,9
20.388672,809.919247,9
20.201660,846.824079,10
21.101562,918.640076,9
20.927734,893.520168,10
20.671875,880.369873,10
21.014648,874.773223,9
21.416504,894.651232,10
20.331055,880.076926,9
20.249512,819.676513,9
20.570801,885.283073,10
21.097656,861.864487,10
21.372070,870.104728,9
18.975586,798.394912,10
21.406738,874.634857,10
20.387695,797.131919,9
21.071289,906.820113,10
20.235352,865.726836,9
21.128906,891.037094,9
21.873047,955.683102,10
20.603516,867.535183,9
21.087891,896.545010,10
19.545898,794.823089,16
22.004395,908.012188,9
20.838867,872.267005,10
20.857910,896.739088,11
20.261230,835.033809,9
20.909180,888.730033,9
21.461914,901.745620,10
20.830566,847.604593,9
21.036621,869.161257,11
21.424316,919.023569,10
20.807129,867.186922,10
19.785156,810.808334,9
20.344727,894.822570,9
19.929199,836.300163,9
19.843262,829.501312,11
20.854492,873.224921,10
20.266602,834.658416,10
20.761230,911.415157,12
19.867676,837.847236,10
20.282227,859.977965,10
19.916992,826.263618,11
21.031250,870.877930,11
21.044434,878.407694,11
22.349121,983.093446,11
22.199707,973.531894,10
19.604004,833.391527,11
20.804688,841.189392,11
20.060059,852.713678,10
20.273926,861.604164,12
20.720215,858.255216,10
21.407227,872.494323,9
20.992188,906.898376,11
20.426270,881.007259,10
19.766113,830.511215,9
21.193359,904.635464,10
21.240723,861.870275,10
20.800293,878.146152,10
21.180176,876.878181,10
20.840820,873.304740,15
19.890625,841.730225,11
20.293457,850.952457,9
20.801758,884.224372,10
21.600586,906.152968,10
21.423340,881.124983,10
20.008789,802.021407,9
21.034668,863.324482,10
20.463379,847.780885,9
19.569336,844.722732,9
21.143066,892.281778,11
21.341797,895.348019,10
21.917480,910.521023,9
20.348145,842.008190,10
19.327148,815.329497,9
20.651367,845.375525,10
20.601562,825.652771,10
19.333496,857.140245,10
19.604492,850.778144,10
21.098633,879.418006,11
19.386230,837.529049,9
20.367676,859.299873,9
20.546875,869.875732,9
21.351562,880.348083,10
20.041992,810.730659,9
21.381836,914.936233,11
19.966797,827.497921,10
19.300781,794.831406,10
20.304688,841.321228,12
20.708496,829.438951,10
19.868652,798.379720,10
21.270020,867.632656,11
20.459473,851.031561,11
19.684082,838.054004,10
20.537109,876.119717,11
20.680176,860.058357,9
21.819824,926.562752,11
20.104004,843.934984,10
20.253906,888.849594,9
20.079102,825.754485,10
20.602539,881.288314,10
21.250977,906.866698,9
21.407715,914.703398,9
20.884277,883.707800,10
20.424316,830.463022,9
20.734375,848.561279,9
20.214355,859.955517,9
20.893555,904.107810,9
20.064453,858.844479,9
20.719238,856.922638,10
20.100586,861.034804,10
20.232910,832.701124,11
21.957520,914.386379,11
20.723145,873.401378,10
20.912598,892.533865,12
21.217285,920.352690,10
21.500488,832.559570,11
21.009766,852.636623,10
21.383301,892.932670,10
19.428223,802.814184,11
20.880859,880.606899,10
20.374023,825.081786,9
20.081055,836.103782,10
20.565918,842.147022,9
20.285156,879.419662,9
21.357422,935.937679,10
22.215820,953.543265,10
20.695801,843.278068,9
19.747559,820.221918,9
20.595215,882.513395,10
21.808105,880.942180,10
21.347168,887.411213,10
20.992676,908.527778,9
19.610352,854.204619,9
20.510254,864.838762,9
20.856934,894.786661,10
20.154297,875.853146,9
20.733398,895.353728,9
20.187012,849.059265,10
20.604004,876.324144,9
20.700195,856.238242,10
20.193848,828.129904,11
21.406738,921.900482,10
20.265625,858.370850,11
21.050293,884.442295,11
22.524414,962.917373,11
20.903320,874.135184,11
20.252930,851.520011,10
20.635742,873.428840,17
20.587402,861.139822,9
21.023438,877.416443,9
19.436523,826.537963,10
21.343750,912.545898,11
20.004395,830.342266,9
21.166504,915.873155,10
21.146973,873.254278,10
20.934082,915.685596,9
20.866699,839.318657,9
21.285645,877.969677,10
20.506348,893.866171,10
20.694336,862.713210,11
20.678711,866.822555,10
21.332031,931.990341,10
21.129395,858.677105,11
19.695312,855.589783,11
19.847168,821.072834,10
19.920898,808.800384,11
20.526855,905.411388,11
20.771484,860.326687,11
20.969238,888.342315,10
18.687012,775.627136,10
21.066406,871.944809,11
20.448730,831.124325,11
21.349609,880.741055,11
20.346680,889.872001,11
20.604980,845.567104,11
20.791992,840.040717,10
20.616699,875.348686,10
20.671875,829.778076,11
20.147949,871.789146,10
20.421875,867.717529,10
20.515625,849.263428,10
20.403809,869.094263,10
20.070801,838.602897,9
21.515137,896.526138,9
21.818848,910.494039,10
20.023926,808.480385,10
21.731445,892.851707,11
