Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
424.707520,5247.268459,0.007000,7
294.511230,1864.891475,0.005000,5
225.027344,1369.371323,0.004000,4
171.196289,967.414596,0.004000,4
138.524414,827.035537,0.005000,5
114.623535,875.193723,0.004000,4
92.750977,799.813964,0.004000,4
74.712402,751.958791,0.005000,5
65.255859,808.313442,0.003000,3
58.869141,827.113735,0.004000,4
50.650391,735.533047,0.004000,4
45.392090,777.927809,0.004000,4
41.254883,844.946754,0.004000,4
38.215332,832.704120,0.004000,4
35.413086,820.263930,0.004000,4
32.023926,784.324135,0.003000,3
31.971191,823.059229,0.004000,4
31.944336,846.174636,0.004000,4
30.190430,851.994987,0.004000,4
28.659180,799.527396,0.004000,4
27.770996,810.947069,0.003000,3
27.553711,903.029342,0.004000,4
25.119141,778.902798,0.004000,4
24.329102,849.549895,0.004000,4
24.141113,850.145614,0.004000,4
23.711426,823.548073,0.005000,5
22.777344,873.598862,0.004000,4
22.909668,859.639789,0.005000,5
21.269531,844.276962,0.006000,6
22.146973,869.282598,0.005000,5
21.911133,880.953040,0.005000,5
20.661133,792.661536,0.004000,4
21.616211,873.048995,0.004000,4
22.340820,864.850638,0.004000,4
21.592773,863.367370,0.004000,4
22.000977,879.133788,0.004000,4
21.028809,861.569971,0.004000,4
21.563477,811.928588,0.004000,4
21.486816,838.671701,0.005000,5
21.180176,826.504158,0.004000,4
22.183105,909.091961,0.004000,4
21.403320,847.145926,0.004000,4
21.896484,890.809597,0.004000,4
21.927246,895.847734,0.004000,4
21.577148,884.359282,0.003000,3
22.274414,875.374892,0.004000,4
20.447266,857.232571,0.004000,4
21.067871,903.612093,0.004000,4
20.854980,889.746059,0.005000,5
21.160156,870.893295,0.005000,5
19.682129,795.532259,0.004000,4
20.691406,894.209457,0.004000,4
20.201172,831.288631,0.004000,4
21.635742,904.217902,0.004000,4
21.675293,913.270054,0.005000,5
19.628906,847.478500,0.004000,4
21.468262,906.624969,0.003000,3
20.541016,841.757107,0.004000,4
20.737305,877.574546,0.005000,5
20.484863,895.623794,0.003000,3
21.573242,899.349128,0.004000,4
20.513184,845.986154,0.004000,4
21.303223,872.200536,0.005000,5
20.714844,829.246811,0.006000,6
20.433105,837.947674,0.005000,5
21.395996,890.236253,0.005000,5
20.055664,834.368972,0.005000,5
20.572754,851.895097,0.006000,6
20.420410,859.530775,0.004000,4
20.900879,868.490663,0.005000,5
20.455566,805.293924,0.004000,4
20.766113,837.381332,0.004000,4
21.413574,912.572609,0.003000,3
20.409180,886.432181,0.004000,4
20.670898,882.400481,0.003000,3
20.347656,824.818588,0.004000,4
21.089355,880.300121,0.004000,4
21.017578,891.186214,0.004000,4
20.252441,842.646723,0.004000,4
21.625000,909.409180,0.004000,4
20.524902,855.361685,0.005000,5
21.947266,928.006985,0.006000,6
21.145508,877.362617,0.004000,4
21.409180,902.043509,0.004000,4
20.489746,885.178606,0.004000,4
20.199707,863.184238,0.005000,5
20.388672,809.919247,0.004000,4
20.201660,846.824079,0.004000,4
21.101562,918.640076,0.005000,5
20.927734,893.520168,0.003000,3
20.671875,880.369873,0.005000,5
21.014648,874.773223,0.002000,2
21.416504,894.651232,0.005000,5
20.331055,880.076926,0.005000,5
20.249512,819.676513,0.005000,5
20.570801,885.283073,0.005000,5
21.097656,861.864487,0.005000,5
21.372070,870.104728,0.005000,5
18.975586,798.394912,0.004000,4
21.406738,874.634857,0.004000,4
20.387695,797.131919,0.004000,4
21.071289,906.820113,0.004000,4
20.235352,865.726836,0.004000,4
21.128906,891.037094,0.005000,5
21.873047,955.683102,0.009000,9
20.603516,867.535183,0.004000,4
21.087891,896.545010,0.005000,5
19.545898,794.823089,0.005000,5
22.004395,908.012188,0.004000,4
20.838867,872.267005,0.004000,4
20.857910,896.739088,0.006000,6
20.261230,835.033809,0.005000,5
20.909180,888.730033,0.005000,5
21.461914,901.745620,0.004000,4
20.830566,847.604593,0.004000,4
21.036621,869.161257,0.004000,4
21.424316,919.023569,0.005000,5
20.807129,867.186922,0.005000,5
