Averaged Fitness Value,Standard Deviation value,calculation time(milis)
154.055664,2270.309402,4
122.714355,1757.930614,4
98.874512,1495.532593,6
79.664551,1242.558861,4
65.959961,1111.341170,4
55.038574,913.430641,4
47.533691,870.761560,7
42.909668,884.660297,4
40.015137,935.163345,8
35.597168,903.763996,6
31.511719,851.499863,5
28.815430,874.680778,8
27.011230,822.514034,5
26.977051,945.306602,4
23.383301,854.924858,6
23.159668,854.016010,5
23.159668,854.016010,5
String tested,Total calculation time(milis)
Hello,101
