Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
150.111328,2167.667294,0.005000,5
118.799805,1657.940391,0.004000,4
96.000488,1385.599121,0.004000,4
78.400879,1191.198183,0.003000,3
64.735840,1057.237348,0.004000,4
53.770996,906.735155,0.015000,15
46.478516,915.916531,0.004000,4
41.089355,886.012035,0.003000,3
38.399902,912.447012,0.004000,4
34.202637,938.211380,0.004000,4
30.267090,868.546339,0.006000,6
27.489258,869.370002,0.004000,4
26.363281,850.325058,0.003000,3
26.363281,850.325058,0.003000,3
String tested,Total calculation time(milis)
blgpK,85
