Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
164.475586,2060.450576,0.008000,8
132.656738,1600.869964,0.005000,5
108.620117,1288.992408,0.003000,3
90.487793,1108.684421,0.004000,4
76.060059,1013.683405,0.006000,6
64.349609,881.741055,0.005000,5
55.244629,871.136934,0.003000,3
49.257812,901.113220,0.004000,4
44.130859,879.662563,0.007000,7
38.650391,822.830898,0.004000,4
34.420898,772.949798,0.003000,3
31.715820,795.963187,0.005000,5
29.792480,820.480861,0.003000,3
28.161133,830.008216,0.003000,3
25.245117,800.992652,0.004000,4
25.245117,800.992652,0.004000,4
String tested,Total calculation time(milis)
fdISBp,109
