Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
208.411133,2855.902259,0.003000,3
126.933594,1164.176254,0.004000,4
85.297852,891.126128,0.004000,4
62.153809,865.524683,0.005000,5
48.649414,894.913222,0.005000,5
38.115723,882.497839,0.004000,4
33.300781,973.712265,0.004000,4
28.400879,924.092714,0.004000,4
25.161133,886.675208,0.003000,3
25.197266,1033.724758,0.004000,4
23.968262,1047.002411,0.003000,3
21.377930,912.782950,0.003000,3
21.514160,939.039839,0.003000,3
21.992188,998.075134,0.005000,5
21.199707,987.234043,0.004000,4
21.199219,976.602890,0.004000,4
19.497559,904.432611,0.004000,4
20.201660,996.449079,0.004000,4
20.507812,937.818298,0.003000,3
20.425781,977.598007,0.004000,4
21.183105,980.982586,0.004000,4
19.160645,882.870189,0.004000,4
20.536133,963.745765,0.003000,3
20.618164,986.559279,0.005000,5
19.840332,930.209369,0.004000,4
20.514648,981.019317,0.004000,4
20.539062,922.969177,0.004000,4
20.155762,923.789703,0.005000,5
19.988281,922.644394,0.004000,4
21.746094,990.548813,0.004000,4
20.821777,938.186498,0.004000,4
20.520020,941.987880,0.004000,4
20.084961,939.685164,0.005000,5
20.611816,980.437692,0.004000,4
20.698242,910.752692,0.004000,4
20.916504,999.890001,0.003000,3
20.853516,926.087917,0.003000,3
20.533691,979.311365,0.003000,3
20.781738,999.861053,0.004000,4
20.608398,918.380828,0.003000,3
19.762695,892.085288,0.003000,3
20.781250,996.087891,0.004000,4
20.495605,966.805645,0.004000,4
20.506836,936.362258,0.005000,5
21.957520,1039.699856,0.004000,4
19.476562,923.503357,0.003000,3
21.421387,994.839523,0.003000,3
21.136719,943.844589,0.004000,4
20.465820,981.433402,0.005000,5
22.247070,1086.142081,0.004000,4
20.372070,946.313712,0.005000,5
20.195312,921.610291,0.004000,4
20.714844,973.121811,0.004000,4
20.034668,950.566669,0.003000,3
20.639648,971.460967,0.003000,3
21.463379,966.427370,0.004000,4
20.145996,953.851244,0.004000,4
20.304688,961.772400,0.004000,4
20.580078,958.858822,0.004000,4
21.420898,1016.150970,0.005000,5
20.404785,970.567106,0.004000,4
20.963867,993.919593,0.003000,3
20.416016,956.664822,0.004000,4
21.129883,975.864966,0.004000,4
21.023926,972.717689,0.003000,3
20.328125,914.812256,0.004000,4
20.817871,970.047395,0.004000,4
21.337402,987.720632,0.004000,4
19.258789,880.194747,0.004000,4
20.958008,990.479682,0.003000,3
20.264648,928.158477,0.005000,5
21.225586,963.973525,0.005000,5
21.242676,991.881050,0.004000,4
21.414062,985.539490,0.004000,4
20.345215,957.972135,0.003000,3
20.329102,986.685637,0.009000,9
21.158203,997.499386,0.005000,5
20.772949,1001.953819,0.003000,3
21.260254,967.779436,0.004000,4
20.206543,949.684391,0.004000,4
20.865234,943.234768,0.003000,3
21.270996,1005.798143,0.004000,4
21.709961,1022.953963,0.004000,4
20.493652,972.056600,0.004000,4
21.642578,1050.216000,0.005000,5
21.480957,1018.698856,0.004000,4
20.045410,968.773817,0.003000,3
20.164062,928.452576,0.004000,4
20.521973,965.168463,0.004000,4
20.034668,930.916279,0.004000,4
21.645508,1027.623359,0.004000,4
20.192871,955.361727,0.004000,4
20.581543,973.682804,0.004000,4
21.402344,976.561752,0.003000,3
21.402344,976.561752,0.003000,3
String tested,Total calculation time(milis)
cUlqThj,19866
