Averaged Fitness Value,Standard Deviation value,ELAPSED time(milis),CLOCK TICKS
196.414062,2454.696716,0.005000,5
161.146484,1952.888699,0.004000,4
132.693848,1537.266134,0.005000,5
111.019531,1245.519150,0.004000,4
94.509277,1116.508703,0.018000,18
81.116699,960.266166,0.003000,3
69.954102,894.067229,0.004000,4
62.293457,854.530582,0.004000,4
56.773438,891.093201,0.004000,4
49.848633,868.404822,0.006000,6
43.478516,750.027859,0.005000,5
39.501465,797.149412,0.004000,4
36.769531,803.343369,0.005000,5
33.206543,769.302555,0.004000,4
29.260742,717.367560,0.004000,4
28.764160,795.550337,0.004000,4
26.863770,842.799312,0.004000,4
26.208984,841.479763,0.005000,5
23.935547,762.079830,0.003000,3
22.523438,763.823669,0.004000,4
21.989746,784.897844,0.007000,7
20.935059,790.042169,0.004000,4
20.935059,790.042169,0.004000,4
String tested,Total calculation time(milis)
prRENBd,149
